agency,use_case_name,verdict,confidence,reasoning
GSA,Cybersecurity Chatbot,not_genai,medium,"The problem statement only references a ""lack of effective LLM tools for compliance"" without describing any generated output, and the agency classified the system as Natural Language Processing rather than Generative AI."
GSA,Improve ASSIST Application Help,genai,high,"The narrative describes ""context-driven answers through an AI chatbot"" over existing help documents (RAG-style Q&A), and is_general_llm_access=1."
GSA,National Computerized Maintenance Management System (NCMMS) AI Chatbot,not_genai,low,"The system is described only as ""offering contextual support"" for work orders, too vague to confirm generated text, and is_general_llm_access=0 with an NLP classification."
GSA,PBS AI Chatbot Domain Enhancements,genai,high,"The narrative describes consolidating documents into ""a conversational, citation-rich assistant,"" which is RAG-based generative Q&A over agency knowledge."
GSA,Pricing Policy Chatbot,genai,high,"The problem statement explicitly describes ""training a RAG-based internal chatbot on a dedicated corpus of knowledge,"" i.e. retrieval-augmented generation."
GSA,RPA Cloud Connection,not_genai,high,"The system performs ""automate the extraction and processing of data from unstructured documents such as invoices, receipts, forms, and emails"" — OCR/extraction, not content generation; fired only on the agentic keyword ""workflow."""
GSA,ServiceNow Generic Ticket Classification,not_genai,high,"Used to ""automatically route generic tickets to the correct group"" — a pure classification/routing pipeline with no generated content."
GSA,ServiceNow Virtual Agent (Curie),not_genai,medium,"The narrative describes employees using it to ""research IT issues ... or find a quick answer to an IT procedure"" with no generated content described, matching the known agentic-keyword over-fire pattern (fired only on ""agent""); the ""ServiceNow Now Assist"" tool tag also appears on clearly non-generative rows in this same batch, so it is not a reliable signal here."
SBA,7(a) Purchases ML Model,not_genai,high,"Described as ""leveraging data analysis and machine learning, OCA can focus reviews on the applications that require manual review"" — a triage/scoring model, not content generation."
SBA,AI Resolution Notes Generation,genai,high,"System outputs are described as ""AI-generated draft formal closing and resolution notes for completed security incidents,"" which is template-free narrative generation."
SBA,AI Vulnerability Remediation Assistance,not_genai,medium,"Outputs are ""AI-recommended patches or configuration changes to remediate identified vulnerabilities"" — a recommendation/decision-support result selected from known options, not novel generated content."
SBA,AI Vulnerability Ticket Deduplication,not_genai,high,"Outputs are ""Deduplicated vulnerability tickets with merged findings from multiple scanners"" — data processing/deduplication, not generation."
SBA,Audit Green Book Classification,not_genai,high,"Described as a ""Classification model for tagging OMB and OIG audits and recommendations"" — a classifier, not a generator."
SBA,Internal OFO Chatbot Recommender,not_genai,medium,"The chatbot ""analyzes inputs and provides approved documents as relevant recommendations"" — retrieval of existing documents rather than generated answers."
SBA,Multi-Agent Orchestration,genai,high,"Outputs explicitly include agents that generate ""comprehensive test suites for financial calculation modules"" and produce ""refactored code suggestions, test case files, project status summaries"" — novel generated code and text."
SBA,Predictive AIOps,not_genai,high,"The platform ""applies machine learning, predictive analytics, and automation to IT infrastructure monitoring and incident management"" — anomaly detection and prediction, not content generation."
TVA,AWS Q,genai,high,"Tool is Amazon Q, a named generative AI assistant product, and is_general_llm_access=1."
TVA,Amazon Connect,not_genai,medium,"The stated benefit is only ""Improved customer support for helpdesk"" with no indication of generated content, is_general_llm_access=0, and the agency's own sophistication tag is classical_ml."
TVA,Copilot,genai,high,"The product is named ""Copilot,"" a general-purpose generative AI assistant, and is_general_llm_access=1."
TVA,Github Copilot,genai,high,"Tool is ""GitHub Copilot,"" a named generative coding assistant, and is_general_llm_access=1."
TVA,Materials Intelligent Catalog Assistant,not_genai,low,"Benefits are described only as ""Faster insights, access to information, and reduction of duplicates"" — search/deduplication, not generation; is_general_llm_access=0 and the agency classification is Unspecified with no unambiguous product name."
TVA,Westlaw,not_genai,low,"Benefits are ""Reduces the time necessary to perform legal research and provides a tool to check for accuracy in legal writing"" with no described generated output; is_general_llm_access=0 and the agency classification is Unspecified."
FERC,Gas Blanket Certificates (Permitting),genai,high,"System outputs state ""The system generates categorized summaries of filings and issuances"" — template-free generation, consistent with the agency's own Generative AI declaration."
FERC,Summarization & Policy Analysis for Regulatory Comments (originally Leverage AI in the Rulemaking Process Use Case),genai,high,"System outputs state analysts ""ask questions about the comments and receive AI-generated answers"" — explicit generative Q&A/RAG over public comments."
