agency,use_case_name,verdict,confidence,reasoning
HHS,1CDP (SEDRIC) AIP for Advanced Foodborne Outbreak Investigation (AI Summarization and Receipt Reading),genai,medium,"The narrative says AIP ""can summarize these results to provide insights"" and the summarization tool reduces labor ""to generate dashboards,"" fitting the summarization genai signal."
HHS,AI Agent Orchestrator POC,not_genai,medium,"Fired keywords are agentic-only (chatbot; agent; multi-step; workflow) and the narrative describes orchestrating ""complex, multi-step analytical workflows"" by calling external tools, not producing novel content."
HHS,AI Automation within the WETG Web Help Service Desk (discovery),genai,low,"Narrative is too thin to tell (""Improved help desk service"" / output ""Suggestion""), so per the rule we follow the agency's declared Generative AI classification."
HHS,AI Editing Tool,not_genai,medium,"The tool is described as detecting ""style and formatting inconsistencies"" with output ""AI-identified style and formatting issues,"" a classifier despite the agency's Generative AI label."
HHS,AI Search in Google Vertex (discovery),genai,low,"Narrative is too thin to tell (""Improved search"" / output ""Suggestions""), so we follow the agency's declared Generative AI classification."
HHS,AI Use Policy Tool,not_genai,high,"The narrative says the LLM tool will ""scan DAB decisions to ensure compliance with quality review standards,"" a detection/review task matching the agency's Classical ML declaration."
HHS,AI Web Content Search Engine Optimization (SEO) in Drupal,genai,low,"Narrative is too thin to tell (""Search engine optimization"" / output ""Suggestion""), so we follow the agency's declared Generative AI classification."
HHS,AI Workspace,genai,high,"is_general_llm_access=1 and the narrative says the workspace ""enables end users to create code,"" a strong genai signal."
HHS,"AI identification of ""High-Risk"" Health Centers",not_genai,medium,"The narrative describes ""predictive analytics and risk modeling to generate a prioritized list"" of health centers, a scoring/classification task rather than content generation."
HHS,AI-Enhanced Journal Clubs,not_genai,medium,"The output is ""Recommended journal articles"" from a recommendation mechanism, not generated content."
HHS,AI-Powered web scanner for digital surveillance of rabies-related news articles,not_genai,medium,"The system performs ""Daily automated compilation of news reports"" — scanning and aggregation, not content generation."
HHS,AIP Cyber Incident Ingestion,not_genai,medium,"The tool ""automatically parses and creates cyber incidents based on the user inputted description,"" an extraction/ingestion task into a tracking system."
HHS,Adverse Childhood Experiences (ACEs) Literature Review Dashboard,not_genai,low,No narrative fields are populated and the agency declared Unspecified; the name is not an unambiguous genai product.
HHS,Agent/Broker Fraud Analysis (ABCQI),not_genai,high,"The narrative states the goal is to ""identify potential fraud/waste/abuse within Agent/Broker data"" via ML, a detection task matching the agency's Classical ML declaration."
HHS,Analytics-Driven Supplement Evaluation (ASE),not_genai,high,"The tool uses a ""Convolutional Neural Network...in combination with a rules-based approach"" to ""help staff triage CBE submission review,"" a classification/triage task."
HHS,Analyzing Public Comments on Proposed Rule,not_genai,low,No narrative fields are populated and the agency declared Unspecified.
HHS,Annual Report CMC,not_genai,medium,"The use case is to ""assist in extracting...CMC changes"" with output ""Support information extraction from unstructured documents,"" an extraction task despite the Generative AI label."
HHS,Applicant Help Chatbot,not_genai,medium,"Deployed May-19 (pre-2022), the system ""answer[s] user questions about Grants.gov"" from ""system help documentation,"" the classic intent-based FAQ chatbot pattern."
HHS,Applying for Grants Chat Bot,genai,low,"The ""Chat Bot"" guides users step-by-step and responds to ""probing questions"" with ""targeted resources""; narrative is thin but shows no classifier signal, so we keep the agency's Generative AI declaration."
HHS,Artificial Intelligence Use Case Pilot in Medical Review on Medicare Fee-For-Service (FFS) Improper Payment Measurement (Comprehensive Error Rate Testing Program) Data,genai,low,"Narrative is generic (""cutting-edge AI technology...efficiencies and accuracy"") with output ""Recommendation""; too thin to override, so we follow the agency's declared Generative AI classification."
HHS,Ask Aithena,genai,high,"Built on the OpenAI API, the tool gives ""conversational answers"" with ""verifiable references,"" a textbook RAG chat use case."
HHS,Auto-Suggest Journal Tool,not_genai,medium,"The tool will ""output a list of the top matching journals,"" a matching/recommendation task rather than content generation."
HHS,Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models,genai,medium,"The AI ""extracts insights and patterns"" from narrative text to identify ""key themes, trends, and critical information,"" an automated qualitative-synthesis task; the closely related sibling use case (#71, same APR review) is explicitly filed as GenAI producing ""summaries."""
HHS,Automating Influenza Vaccine Virus Data Processing,not_genai,medium,"The system ""automates extracting key phrases, recognizing text, processing forms, and identifying entities"" from PDFs — classic IDP/OCR extraction, not generation."
HHS,Automating the distribution of CDC-State Department cables using AI models in the Global Health Center,not_genai,medium,"The output ""delivers accurate, formatted messages directly to the intended recipients within seconds"" — deterministic routing/distribution, no content generation described."
HHS,BioData  Catalyst Harmonized Data Model,not_genai,low,"The project is ""Harmonizing complex scientific concepts in retrospectively collected data"" into ""Harmonized, AI-ready data,"" a standardization task rather than content generation."
HHS,CCSQ ServiceNow AI Search,not_genai,medium,"The output is to ""Display most relevant results first"" and ""Support synonyms, auto-corrections, stop words, and auto-completion"" — search ranking, not generation."
HHS,CDC Vault and Stacks Metadata Extraction,not_genai,low,"The tool aims to ""prepare the metadata record"" and ""return up to 41 metadata elements,"" a cataloging/extraction task; narrative doesn't clearly describe novel content generation."
HHS,CSB MCP AI,genai,high,"The output explicitly includes ""Reports, infrastructure code generation, and task execution,"" and the narrative says the AI will ""generate reports."""
HHS,Center for Forecast and Analytics (CFA) Model Studio,not_genai,high,"The tool provides a ""Model Library"" where users ""discover, upload, and test their various models"" — an MLOps platform, not content generation."
HHS,ChatBot for Safety Reporting Portal Adverse Events and Product problems submissions,not_genai,low,"The Druid AI chatbot's ""sophisticated Natural Language Processing and Understanding capabilities empower precise interpretation of user queries"" for routing to the correct form, an intent-routing pattern rather than generation."
HHS,Chatbot,not_genai,low,"No narrative fields are populated, the agency declared Unspecified, and ""Chatbot"" alone is not an unambiguous genai product name."
HHS,Chatbot within Hub,genai,high,"The narrative explicitly proposes ""retrieval augmented generation (RAG)"" and ""contextual generation"" for the chatbot, despite the agency's Classical ML declaration."
HHS,"Child Welfare Information Automated Inquiry System

(Note: previously named ""Child Welfare Information Gateway OneReach Application"")",not_genai,medium,"Deployed Mar-20, the hotline ""offers a limited FAQ texting service that utilizes natural language processing to answer user queries"" via IVR — an intent-based FAQ system."
HHS,Citation Analysis and Survey Assistant (CASA - Nursing Home Survey CMS 2567),not_genai,low,"The description is vague (""employing advanced natural language processing and machine learning technologies"") with no content-generation signal; it supports citation review/tracking."
HHS,Clinical Trial Predictor,not_genai,medium,"The tool ""predicts whether grant applications may involve clinical trials based on the text"" with output ""Prediction of possible clinical trial"" — a classifier despite the Generative AI label."
HHS,ClinicalTrials.gov Protocol Registration and Results System Review Assistant,not_genai,high,"The output is ""Prediction of whether a quality issue is present in study registration or results records,"" matching the agency's Classical ML declaration."
HHS,Collections Summarization Chatbot,genai,high,"is_general_llm_access=1 and the output is a ""Summary of the resource presented in text format"" — explicit summarization."
HHS,CryoSPARC,not_genai,high,"The output is ""Prediction of protein flexibility and variability"" via ""Deep learning - stochastic gradient descent,"" matching the agency's Classical ML declaration."
HHS,DECIDE,not_genai,low,No narrative fields are populated and the agency declared Unspecified.
HHS,DHDSP NOFO Technical Assistance Chatbot,genai,high,"The chatbot ""incorporates a Large Language Model (LLM) AI to provide quick, accurate, plain-language answers"" to policy questions."
HHS,DHP Data Repository and Dashboard Chatbot,genai,high,"is_general_llm_access=1, and the chatbot answers user questions ""based on the information in the narrative documents,"" a RAG-style Q&A design."
HHS,DHP Virtual Assistant,genai,high,"The assistant explicitly ""uses retrieval augmented generation (RAG) to return information related to HIV based on a user's query."""
HHS,DLS AI Assistant tool,genai,medium,"The assistant provides ""personalized responses based on the user's level of expertise"" drawing on policy documents, a RAG-style Q&A design."
HHS,Delegations Repository Assistant,genai,medium,"The ""chatbot assistant"" gives responses that ""include citations and references to the delegations library documents,"" a RAG-style Q&A design."
HHS,Design Your Facility,not_genai,low,No narrative fields are populated and the agency declared Unspecified.
HHS,Detection of AI-Generated Reviewer Critiques,not_genai,high,"The output is explicitly ""classifications of whether the reviewer critique was likely produced by Generative AI or not"" — a detector, not a generator of content."
HHS,Development of in-silico genomic and patient datasets using generative ML algorithms,genai,medium,"The name explicitly identifies ""generative ML algorithms"" producing synthetic ""in-silico...genomic and patient datasets,"" an unambiguous synthetic-data-generation task despite the blank narrative."
HHS,Document drafting and editing,genai,medium,"The name ""Document drafting and editing"" is an unambiguous content-generation/editing task despite the blank narrative."
HHS,Driving Efficiency and Expansion of Dietary Supplement Label Database Data through AI,not_genai,low,"The narrative describes ""more rapid sourcing of dietary supplement label data"" into a database, suggesting extraction from labels rather than content generation; too thin to be certain."
HHS,Dual Use Research of Concern (DURC) Categorization LLM,not_genai,low,"The name indicates a ""Categorization"" (classification) task performed with an LLM, not content generation."
HHS,Electronic translational services for regulatory documents for articles offered for import,genai,high,"Neural machine translation via Google Translate API/Azure directly matches the rule's CBP Translate edge case (""neural MT → genai despite NLP declaration"")."
HHS,Enhanced Direct Enrollment Outlier Detection,not_genai,high,"The narrative states the goal is to ""identify anomalies/quality issues with partner-submitted...data"" via ML, matching the agency's Classical ML declaration."
HHS,Evaluating Generative AI for polio containment.,genai,low,"The name explicitly references ""Generative AI"" despite the blank narrative, an unambiguous reference."
HHS,FERRET,not_genai,medium,"The system automates ""identification, extraction, and re-structuring of data"" into ""Structured data deposited into a SQL database,"" an ETL/extraction task."
HHS,FOIA Exemption-Aligned Redaction,not_genai,medium,"The tool's job is to ""identify personally identifiable information (PII)"" and ""propose the redaction markings for human QA"" — detection/flagging of existing text, not content generation."
HHS,FOIA REDACTION (FRED) TOOL,not_genai,medium,"The tool is designed to ""generate predictions of text for redaction,"" i.e. classify which spans to redact, and the output is a ""PDF with boxes around text"" it recommends for redaction — marking existing content, not producing new content."
HHS,Federal Select Agents Program (FSAP) Customer Agent,genai,high,"The output is ""text via an LLM,"" delivered ""via a both a chat window or copilot,"" a generative chat interface."
HHS,Generative AI (GenAI) Still Image Tagging,genai,high,"is_general_llm_access=1; the tool's output is a ""Classifications tags and/or image summary in text form,"" i.e. generative image captioning."
