agency,use_case_name,verdict,confidence,reasoning
State,AI Tools to Enhance PD Workflows,not_genai,medium,"No narrative was filed and the only fired keyword is the generic word ""workflow""; per the instructions this is the known over-fire pattern with no evidence of content generation."
State,BudgetChat AI Tool,genai,high,"System_outputs states BudgetChat ""responds to prompts regarding the amount of spend and positions in prior years by combing through narratives,"" a prompt-driven Q&A pattern over documents, and the agency classified it Generative AI."
State,CodeGen - AI-assisted IT Application Development,genai,medium,"The name itself, ""CodeGen - AI-assisted IT Application Development,"" is an unambiguous code-generation signal even though no narrative was filed and ai_classification is Unspecified."
State,Data.State Analytics and AI Funhouse,genai,high,"System_outputs describes a platform that ""enables use of general purpose AI and ML tools, including open source, OpenAI, and Azure AI models,"" and is_general_llm_access=1, a strong genai signal by definition."
State,ECA Program Management and Outreach - Summarization,genai,medium,"The use case name indicates summarization and is_general_llm_access=1, both strong genai signals, though no narrative was filed to confirm the output is template-free."
State,NIV Adjudication Review Recommendation Engine (ARRE),not_genai,high,"System_outputs shows ARRE ""produces a unitless anomaly score...and uses the score to generate a post-level ranked list that bins cases into priority tiers,"" a classical scoring/ranking pipeline, not content generation."
State,PFCS Proving Ground,not_genai,low,"The narrative only describes a generic ""experimentation platform"" for developing unspecified ""AI solutions"" with no mention of producing novel content, so the evidence is too thin to call it generative."
State,Rosie Chat Bot,genai,high,"System_outputs are ""Contextual answers and emails,"" i.e. generated text, matching the agency's own Generative AI classification."
State,StateInsight,genai,high,"System_outputs is ""Summary of documents...and responses to questions asked about the documents,"" a document summarization and Q&A pattern that is genai even though the agency filed it as NLP."
State,TIP Report Research Translation,genai,high,"The system provides ""informal, unofficial translations"" via AzureAI Translator, i.e. neural machine translation, which the instructions explicitly list as a genai signal."
State,Travel.State.Gov (TSG) Enhanced Search and Chatbot,not_genai,low,"No narrative was filed and the only fired keyword is the generic word ""chatbot""; the ambiguous name and Unspecified classification match the early/intent-based chatbot not_genai pattern."
DOL,Audio Transcription,not_genai,medium,"Expected_benefits describes ""Transcription of speech to text for records keeping"" and system_outputs is just ""Text transcription,"" a transcription-only pipeline the instructions explicitly list as not_genai despite the agency's Generative AI filing."
DOL,Automatic Data Processing Workflow with Form Recognizer (9130/9178 Reconciliation Project),not_genai,high,"The tool is Azure Form Recognizer, an OCR/extraction product, and the only fired keyword is the generic word ""workflow"" with no narrative describing content generation."
DOL,Automatic Document Processing,not_genai,medium,"System_outputs states the tool ""will extract data from the forms for further processing"" after extracting ""pre-defined selection boxes,"" a deterministic extraction pipeline despite the agency's Generative AI filing."
DOL,Case Recording summarization,genai,medium,"The use case name indicates summarization and is_general_llm_access=1, both strong genai signals, though no narrative was filed to confirm output style."
DOL,ETA Grants Monitoring Tool through Doc Explorer,genai,high,"System_outputs is ""Summaries and Question answer"" built on Azure OpenAI, a document summarization/Q&A pattern that is a strong genai signal."
DOL,Notice of Deficiency (NOD) Text Generation using Generative AI model,genai,high,"The use case name itself, ""Text Generation using Generative AI model,"" is an unambiguous genai signal, reinforced by is_general_llm_access=1."
DOL,Website Chatbot Assistant,not_genai,low,"No narrative was filed and the fired keywords are only the generic words ""chatbot; assistant"" with is_general_llm_access=0, matching the over-fire pattern for an unnamed, unclassified chatbot."
OPM,Anthropic Claude,genai,high,"The tool is named Claude and the problem statement describes an ""LLM used across OPM for summarization, drafting, and decision support,"" an unambiguous named genai product."
OPM,Microsoft Copilot,genai,high,"The tool is Microsoft 365 Copilot, a named genai product, described in the problem statement as an ""LLM used across OPM for summarization, drafting, and decision support."""
OPM,OPM Rexi Chatbot,genai,high,"The problem statement describes an ""Internal chatbot for document analysis, content generation, and brainstorming,"" an explicit content-generation signal despite the Unspecified classification."
OPM,OpenAI ChatGPT,genai,high,"The tool is named ChatGPT, an unambiguous named genai product, described as an ""LLM used across OPM for summarization, drafting, and decision support."""
OPM,USA Class,not_genai,medium,"The problem statement describes an ""AI-powered classification tool for building federal position descriptions,"" a classification pipeline rather than content generation."
FRTIB,Contact Center AI,not_genai,medium,"System_outputs are ""Transcriptions, knowledge articles,"" i.e. transcription and knowledgebase retrieval rather than novel content generation, despite the agency's Generative AI filing."
