agency,use_case_name,verdict,confidence,reasoning
DOT,AI Operations Laboratory (OPSLAB),not_genai,medium,"Narrative describes ""access to shared environments with all OCIO-cleared AI functionality"" -- an enabling development platform/sandbox, not a system that itself produces novel content."
DOT,Advanced Research and Testing (ART) Network,not_genai,medium,"Described as ""the shared service environment for AI research and development activities"" providing infrastructure access, not content generation itself."
DOT,Case and Document Management Copilot,genai,high,"Narrative states the copilot can ""answer questions, generate content, and dynamically automate any action"" -- explicit content generation."
DOT,"Enterprise ""Ask Dottie"" ChatBot Capability",genai,high,"Provides ""secure enterprise-wide LLM ChatBot capabilities"" with is_general_llm_access=1, confirming an LLM-based Q&A chatbot."
DOT,Human Resources Policy Manual (HRPM) LLM Document Search,genai,high,"Lets employees ""ask Human Resource policy questions and quickly receive back an easy to understand response"" via an LLM-generated answer."
DOT,Identification of Similar Continued Operational Safety (COS) Events,not_genai,high,"Output ""aggregates information from disparate sources to provide an integrated view of events that are similar"" -- a linking/retrieval pipeline (agency-declared Other/classical_ml), not generation."
DOT,Predictive Analytics Using Autonomous Track Geometry Measurement System (ATGMS) Data,not_genai,high,"This is ""automated machine-learning-based processes for analyzing, predicting, and reporting track locations"" -- predictive analytics/forecasting; ""Autonomous"" only names the sensor system, the classic keyword over-fire."
DOT,Prognosis and Diagnosis Based on Contributing Factors to Safety Risk,genai,medium,"Uses ""an LLM tuned to Human Factors Common Taxonomy"" with is_general_llm_access=1, indicating an LLM answering factor-related queries, though the narrative is thin."
DOT,Public Comment Analyzer (PCA),genai,high,"The model will ""Generate summaries of the comments"" -- explicit novel-content generation."
DOT,Remote Maintenance Monitoring (RMM) Analyzer Copilot,genai,high,"A ""Copilot"" letting users ""pose questions in plain language"" while it ""retrieve[s], interpret[s], and present[s] relevant information"" -- LLM-based Q&A with is_general_llm_access=1."
DOT,Tech Ops LLM Document Search,genai,high,"""the AI generates a concise, relevant answer drawn directly from the Technical Instruction Manuals"" -- explicit generation."
DOT,Transportation AI-enabled Network (TrAIN),not_genai,medium,"Described as a ""shared service environment...that contains all available AI tools"" -- enabling platform, not itself a generative system."
FDIC,CFOO Admin Chatbot,not_genai,medium,"Built on ""Internal Chatbot RASA"" and answers by ""Compiling data...to answer questions"" -- consistent with an intent-based retrieval bot, not free-text generation."
FDIC,CFOO Travel Chatbot,not_genai,medium,"Same RASA-based intent chatbot pattern deployed 09/2020, predating the generative-AI wave; ""Compiling data...to answer questions about FDIC travel."""
FDIC,Criminal Background Investigation,not_genai,low,"Despite the agency's Generative AI label, output is ""Aggregation of public records used to evaluate risk"" via CLEAR -- a data-aggregation/verification task, not content generation."
FDIC,Data Extraction from Contract PDF Files,not_genai,medium,"The model ""will extract specific information (dates) from an electronic form"" producing ""a spreadsheet that flags any contract actions"" -- a classic extraction/flagging task despite the agency's Generative AI label."
FDIC,Plain Language Policy Assistant,not_genai,low,"Narrative fields are blank and classification is Unspecified; per the decision rule, the name alone (""Plain Language Policy Assistant"") is not unambiguous enough to confirm generative capability."
FDIC,Social Listening,genai,medium,"is_general_llm_access=1 and the tool provides ""Summary of results for social and news items,"" indicating LLM-based summarization layered on Meltwater's monitoring."
FDIC,Trust Document Entity Extraction - LLM,not_genai,medium,"Despite using ""a Large Language Model,"" the task is to ""automate the extraction of key information from trust agreements"" -- an extraction pipeline, which the rubric classifies not_genai regardless of underlying model."
NMB,AI-Powered Proofreading and Editing,genai,high,"Built on Google Gemini (a named genai product) to identify ""grammatical errors, style inconsistencies, and areas for improvement"" -- LLM-based editing suggestions."
NMB,Automated Document Creation,genai,high,"Uses Gemini to ""automate the creation of standard documents, such as letters, notices, and reports"" -- an LLM drafting text from data inputs."
NMB,Document Summarization,genai,high,"Explicitly built to ""quickly summarize lengthy documents"" using Gemini -- a core generative-summarization use case."
NMB,Meeting Transcript Analysis,genai,medium,"Gemini is used to ""identify key discussion points, decisions, and action items"" from transcripts -- a synthesized narrative output rather than a raw classification label."
FRB,Monitoring Earnings Conference Calls,not_genai,medium,"System exists to ""identify mentions of using genAI alongside research and development"" in call transcripts -- a keyword-detection/classification task; the ""genai"" keyword match reflects the monitored topic, not a generative capability, matching the known over-fire pattern."
