agency,use_case_name,cohort,bureau_component,current_is_generative_ai,is_general_llm_access,ai_sophistication,ai_classification,ai_classification_normalized,stage_normalized,operational_date,tool_product_name,system_name,vendor_name,problem_statement,expected_benefits,system_outputs,fired_keywords
USDA,AR-Enabled Mobile App for Policy and Regulation Review,under_declared,Food Safety,0,0,general_llm,Generative AI,Generative AI,pre_deployment,,,,,"Enables inspectors to perform remote dispositions and receive training in real-time, hands-free.","Reduced travel time and costs, especially in hard-to-staff or remote locations. Expanded inspection coverage through flexible deployment of remote veterinary oversight. Improved job satisfaction and retention by minimizing travel burdens and offering modern tools. Enhanced training and support via real-time remote guidance from experienced veterinarians.",A custom mobile application for inspection personnel.,
USDA,ARGUS AI Supply Chain Interference,under_declared,Office Of Homeland Security,0,0,agentic,Agentic AI,Agentic AI,deployed,9/15/2022,,ARGUS,ACCRETE AI Government,Identify potential risks in the supply chain.,"As a specialty-focused information resource, ARGUS AI Supply Chain Influences core strength is its ability to collect, organize, and summarize open-source information relating to suppliers.","Data analytics, reports, summaries, maps relationships, knowledge graphs",
USDA,Alisha OCR Reader,over_contradict,Natural Resources and Environment,1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pilot,3/31/2025,,,,Automates data extraction from OF-286 (Emergency Equipment Use) invoice forms,"Enhanced workflow efficiency, better knowledge management, improved accuracy & consistency, frees up staff to focus on strategic tasks rather than manual document handling.",Outputs an excel document,workflow
USDA,Conservation Management Benefits Navigator (CMBN),under_declared,Farm Production and Conservation,0,0,general_llm,Generative AI,Generative AI,pre_deployment,,,,,Updating technical policy currently involves lengthy literature review that can take many months to complete. National Resources Conservation Service (NRCS) struggles to update technical policy and make new technologies available to producers within a 5-year cycle. NRCS is often forced to use contracts for literature review completion due to lack of staff possessing expertise needed for completing the reviews.,Reduces the amount of time to update National Resources Conservation Service (NRCS) conservation practice standards from years to months; makes new technology available to U.S. producers more rapidly than current possible timeframes.,Recommended findings from literature that should be included in National Resources Conservation Service (NRCS) conservation practice standards,
USDA,Esri ArcGIS Pro Deep Learning Modules,over_contradict,Natural Resources and Environment,1,0,computer_vision,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,deployed,4/1/2024,Esri ArcGIS AI,FS ACE,,Object detection from aerial images,"The purpose of this tool is to enhance scientific modeling and analysis, which will standardize Geographic Information System (GIS) workflows for modeling and analytics.",The tools will output image classifications.,workflow
USDA,Forest Plan review and planning support,under_declared,Natural Resources and Environment,0,0,general_llm,Generative AI,Generative AI,deployed,6/2/2025,,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),Google,Opportunity to increase business productivity related to forest plan reviews by analyzing data and information at a rapid pace,"Speeding up analysis of data, improving service for public, and mission area enablement.",Outputs data analysis and extracted information,
USDA,IOL Focus Group and Survey Sensemaking,over_contradict,Natural Resources and Environment,1,1,general_llm,Natural Language Processing (NLP),Natural Language Processing,pre_deployment,3/31/2025,NotebookLM,"Google NotebookLM, Google Earth Engine",Google,Processing and interpretation of questionnaires and transcripts can be slow and tedious. Using Google NotebookLM can improve the process.,"Cost savings, time savings, mission execution, and reduced timelines for large-scale projects.","Outputs summaries, theme development, supporting quotes",
USDA,Incident Detection and Response Acceleration,under_declared,Food Safety,0,0,general_llm,Generative AI,Generative AI,pre_deployment,,,,,Need for improved incident detection and response acceleration,Faster threat containment and mitigation. Continuous monitoring and real-time detection.,Text-based detection alerts.,
USDA,Incident Invoice Document Understanding,over_contradict,Natural Resources and Environment,1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pre_deployment,6/16/2025,,,UI Path,"Staff is overburdened by manual document handling, resulting in less time to focus on high-value strategic tasks. This tool automates data extraction from forms and invoices.","Enhanced workflow efficiency, better knowledge management, improved accuracy and consistency, frees up staff to focus on strategic tasks rather than manual document handling.",The Output is a CSV file with confidence level to be able to send the invoice data to the payment system,workflow
USDA,NETS automated waterway design,under_declared,Farm Production and Conservation,0,0,classical_ml,Agentic AI,Agentic AI,pilot,3/15/2025,,NRCS Engineering Tools Suite (NETS),Spatial Front Incorporated,Surveying for and creating engineering designs for relatively simple practices is time consuming and limits getting programs implemented for producers in a timely manner,"Reduces producer wait times for practice designs, reduces time investment in simple engineering survey and designs, efficiently uses taxpayer resources.","Auto-generated design for grassed waterways, lined waterways, and outlets within the National Resources Conservation Service (NRCS) Engineering Tools Suite environment",
USDA,Nutrition Education & Local Access Dashboard,over_contradict,"Food, Nutrition, and Consumer Services",1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,deployed,6/23/2023,Tableau,Tableau,Accenture,"The goal of this dashboard is to provide county-level information on nutrition education and local food access, alongside other metrics related to hunger and nutritional health. This interactive dashboard can provide specific details based on the properties of farm to school intensity and size, program activity intensity, demographics, fresh food access, school size, and program participation. These properties allow users to find similar states based on any of these characteristics, opening up opportunities for partnerships with states they may not have considered.","Benefits include consolidating related data in one location for informing nutrition programming, and identify potential partners for nutrition programs based on similarities.",The model outputs groups of similar counties/states based on the different combinations of properties available for states.,
USDA,ProcureSight,under_declared,Departmental Administration,0,0,general_llm,Generative AI,Generative AI,deployed,10/14/2024,,,ProcureSight,The primary use is to assist with market research and responsibility determination.,"This is a free solution and it use will increase procurement professional productivity as ProcureSight transforms public datasets from SAM.gov and USASpending, enabling users to perform highly precise searches against this public procurement data. This is cost saving and improving government efficency.",The system outputs search results,
USDA,Public Comments Analysis,under_declared,Office of the Chief Information Officer,0,0,general_llm,Generative AI,Generative AI,pre_deployment,,,,,Public comments analysts are overburdened with processing large volumes of public comments. This delays regulatory review and burdens policy staff.,Automation of tedious and repetitive tasks reduces cost and increases speed and efficiency when addressing public comments,Outputs are CSV files containing extracted comment information necessary for analysts to address issues and recommendations,
USDA,Recreation site chatbot,over_contradict,Natural Resources and Environment,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,pilot,10/1/2024,,,University of Washington,Estimating recreation use at recreation sites.,Addressing requirements of the federal Expanding Public Lands Outdoor Recreation Experiences (EXPLORE) Act.,A dataset of text provided by recreation visitors.,chatbot
