agency,use_case_name,source_text,decision,mapped_products,proposed_new,confidence,reasoning
Treasury,AI-Augmented Software Modernization and Insight,"N/A N/A AI-Augmented Software Modernization and Insight The IRS maintains a large portfolio of complex Java/Spring Boot applications that accumulate technical debt, dependency conflicts, and inconsistent coding practices. Manually identifying outdated libraries, researching upgrade paths, and resolving build failures consumes significant engineering time and slows modernization efforts. AI is intended to reduce this burden by automating research, detecting vulnerabilities, and proposing secure, ",false_positive,,,medium,"Vendor/system fields are ""N/A N/A""; narrative only says ""AI is inte[nded]"" to help modernize Java/Spring apps -- no product or system named."
Treasury,AI-Driven Predictive Maintenance for Mint Manufacturing Equipment and Production Assets,"N/A N/A AI-Driven Predictive Maintenance for Mint Manufacturing Equipment and Production Assets The system is intended to identify patterns in equipment performance and lifecycle data to predict mechanical failures before they occur. Currently, maintenance relies on fixed schedules or reactive responses after failures, resulting in unplanned downtime, potential safety issues, and increased maintenance costs. The solution shall analyze machine data to anticipate component degradation and recommen",false_positive,,,medium,"""The system is intended to identify patterns in equipment performance"" -- planned capability; no product or vendor named."
Treasury,AI-Enabled Automated Visual Inspection for Mint Product Quality Assurance in Production Lines,"N/A N/A AI-Enabled Automated Visual Inspection for Mint Product Quality Assurance in Production Lines The system is intended to automate the visual inspection of product (e.g., coins) on production lines to identify defects, inconsistencies, or anomalies that affect product quality. Currently, operators leverage systems that use comparable references to identify differences and, in some cases, conduct manual, visual quality checks using traditional inspection tools, which are labor-intensive, su",false_positive,,,medium,"""intended to automate the visual inspection of product (e.g., coins)"" -- planned capability; no product named."
Treasury,AI-Powered Enterprise Standard Portfolio (ESP) for End-to-End Technology Lifecycle,"N/A N/A AI-Powered Enterprise Standard Portfolio (ESP) for End-to-End Technology Lifecycle The core problem the AI is intended to solve lies in the fragmented and highly manual nature of how commercial off-the-shelf technologies are managed throughout their life cycle. Today, users submit requests for new software or hardware, but determining whether the request duplicates existing tools, whether the technology is still supported, or whether it fits enterprise standards often depends on tribal k",agency_internal_system,,,medium,"Named internal tool: ""AI-Powered Enterprise Standard Portfolio (ESP) for End-to-End Technology Lifecycle""; heuristic hits (Microsoft Teams, Aware Biometrics) do not appear in the text."
Treasury,Accounts Management “Balance Due” Call Transcript Classification,N/A N/A Accounts Management “Balance Due” Call Transcript Classification This project aims to sort customer call transcripts into groups based on the issues customers need help with. The AI system will inform research and decision making to enhance the customer experience.,agency_internal_system,,,medium,"""This project aims to sort customer call transcripts into groups"" -- IRS-built classification project; no commercial product named."
Treasury,Advanced Anomaly & Changepoint Detection,N/A N/A Advanced Anomaly & Changepoint Detection Scaling our topic-attention analytics to signal market shifts in real time Enhances market surveillance capabilities by providing real-time detection of significant market changes enabling more timely analysis and response to financial market developments,agency_internal_system,,,medium,"""Scaling our topic-attention analytics to signal market shifts"" -- internal Treasury analytics capability; no product named."
Treasury,Automated Document Processing,N/A N/A Automated Document Processing Converting legacy PDFs and chart images into structured datasets for faster research ingestion Accelerates research by automating the conversion of unstructured documents into analyzable data formats reducing manual data entry and improving data accessibility,agency_internal_system,,,low,"""Converting legacy PDFs and chart images into structured datasets for faster research ingestion"" -- internal research pipeline; no product named."
Treasury,DATA Act Bot for Procurement Data Matching,N/A N/A DATA Act Bot for Procurement Data Matching AI is used to validate whether public contract spending reporting matches the information in PDF contract documents. The Digital Accountability and Transparency Act requires consistent and reliable contract spending to be reported to the public in the Federal Procurement Data System (FPDS). AI powered bot  automates comparing FPDS data with contract documents to improve the quality of contract spending reporting. Policymakers and the taxpaying p,agency_internal_system,,,high,"""AI powered bot  automates comparing FPDS data with contra[ct documents]"" -- the DATA Act Bot is a named government-built bot."
Treasury,Digital Forensics Chatbot for IRS Employees,N/A N/A Digital Forensics Chatbot for IRS Employees N/A N/A,agency_internal_system,,,low,"Only the title ""Digital Forensics Chatbot for IRS Employees"" (rest is ""N/A N/A"") -- reads as an internal employee chatbot; no vendor info."
Treasury,Employee Resource Center (ERC) Chatbot,N/A N/A Employee Resource Center (ERC) Chatbot Enable self-service for employees seeking information about various employee-related topics. This chatbot has proven to reduce the reliance on the ERC staff to answer employee inquiries greatly improving ERC operations.,agency_internal_system,,,high,"""Employee Resource Center (ERC) Chatbot ... reduce the reliance on the ERC staff"" -- named internal IRS chatbot."
Treasury,Employee Retention Credit Text Clustering,N/A N/A Employee Retention Credit Text Clustering Application of Line-Item Consolidation algorithm to identify highly similar text and apply additional features to similar clusters to enable identification of suspicious texts. This enables the agents to increase their capacity and reduce time researching and identifying potential suspicious trends of topics used in claims.,agency_internal_system,,,high,"""Application of Line-Item Consolidation algorithm to identify highly similar text"" -- internal IRS model; no product."
Treasury,Establish localized Large Language Model (LLM),"N/A N/A Establish localized Large Language Model (LLM) AI Enablers (Enterprise solutions that enable AI to integrate into IT services infrastructures) Consolidation of multiple research initiatives into an aligned approach to research an enterprise LLM that will be trained on approved internal documentation to provide accurate, consistent, and rapid responses to employee inquiries. This will improve service delivery, reduce case escalations, and free personnel to focus on complex, mission-critic",agency_internal_system,,,medium,"""research an enterprise LLM that will be trained on approved internal documentation"" -- internal IRS LLM initiative; no product named."
Treasury,F1023 Hybrid NLP and ML Pipeline,"N/A N/A F1023 Hybrid NLP and ML Pipeline The model attempts to predict non-compliance among tax-exempt entities by leveraging embedding-based feature extraction feeding a downstream classifier. F1023 and F990 contain natural text fields around activity descriptions, mission or purpose statements making it difficult for Tax Exempt Government Entities (TEGE) to detect non-compliance among the population of Exempt Organizations (EOs). This use case provides improved ability to predict non-complianc",agency_internal_system,,,high,"""The model attempts to predict non-compliance among tax-exempt entities"" -- named internal IRS model (F1023 pipeline)."
Treasury,FORMS AI,N/A N/A FORMS AI Data Analysis and Manipulation DDM-Debt is looking to utilize Machine Learning/GenAI solution to production in their FORMS system. The ML/GenAI solution automates the classification and routing of documents to the appropriate business units and roles.,agency_internal_system,,,high,"""DDM-Debt is looking to utilize Machine Learning/GenAI solution to production in their FORMS system"" -- internal FORMS system enhancement."
Treasury,Form 4546 IDR Question-Answering Automation,N/A N/A Form 4546 IDR Question-Answering Automation Use of Large Language Models (LLMs) to automatically assess whether taxpayers have addressed the questions raised by Large Business and International (LB&I) Revenue Agents in Information Document Requests (IDRs) responses. This will assist the Revenue Agent by processing the received taxpayer correspondence to speed up disposition.,agency_internal_system,,,medium,"""Use of Large Language Models (LLMs) to automatically assess whether taxpayers have addressed the questions"" -- internal IRS LLM application; underlying model/product not named."
Treasury,Form 990N Machine Learning Model,"N/A N/A Form 990N Machine Learning Model The goal of this model is to predict non-eligible Form 990N filers as part of a data driven approach to identify non-compliance within the population of exempt organizations (EOs) filling the Form 990N (Issue Control Number (ICN) 121004). Form 990-N filings provide limited information to the IRS, making it difficult for Tax-Exempt Government Entities (TEGE) to detect non-compliance among that population of EOs. This use case provides improved ability to p",agency_internal_system,,,high,"""The goal of this model is to predict non-eligible Form 990N filers"" -- named internal IRS compliance model."
Treasury,Forms Conversion,N/A N/A Forms Conversion The AFCS tool assists the team with working a higher volume of form conversion than we can sustain manually due to the loss of staff due to Deferred Resignation Program (DRP) and retirements. The AFCS tool saves significant time in the authoring process by providing an initial draft version of the form.,agency_internal_system,,,medium,"""The AFCS tool assists the team with working a higher volume of form conversion"" -- named internal forms-conversion tool (AFCS); no commercial vendor identified."
Treasury,GenAI Productivity Tool,"N/A N/A GenAI Productivity Tool General research and smart assistant functions Improves organizational efficiency by automating communication, documentation and research tasks.",unclear,,,medium,"""GenAI Productivity Tool General research and smart assistant functions"" -- a COTS GenAI assistant is clearly in use but never named; cannot pick a catalog product."
Treasury,GenAI Productivity Tool Pilot,"N/A N/A GenAI Productivity Tool Pilot Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI. (Meeting Summarization and Recap - Generating notes, action items, and summaries from meetings). Generating first drafts of documents, briefing, or communication materials using AI. Content Generation & Refinement (Drafting, rewriting, and improving documents, emails, presentations, and plans). Summarizing the key points of a lengthy report ",unclear,,,medium,"""Transcribing, summarizing ... Meeting Summarization and Recap"" -- generic GenAI productivity pilot; the underlying product is not named."
Treasury,GenAI Productivity Tool with Web Grounding Pilot,"N/A N/A GenAI Productivity Tool with Web Grounding Pilot Contextual Research (Exploring policies, regulations, trends, and strategic topics). Knowledge Retrieval (Locating known information and presenting or analyzing the information). Conduct a web grounding-enabled pilot.  By default, web grounding is off in government environments; enabling will require an AI risk assessment. Without web grounding, AI product can only provide info through the summer of 2024.",unclear,,,medium,"""Conduct a web grounding-enabled pilot.  By default, web grounding is off in government environments"" -- a specific COTS GenAI tool is implied but not named."
Treasury,GenAI for Data Platform Operations,"N/A N/A GenAI for Data Platform Operations Helps developers build  applications by providing scalable access to large language models for tasks such as natural language processing, code generation, and automation. It integrates with other services to allow for enterprise-grade deployment of AI-powered solutions. AI solution allow EDM to enhance  services by automating communication and data analysis, and improving decision-making. It e reduces administrative burden and supports transparency by s",unclear,,,medium,"""providing scalable access to large language models ... enterprise-grade deployment of AI-powered solutions"" -- reads like a cloud LLM platform (possibly Azure OpenAI) but no product is named."
Treasury,GenAI for Low Code Platform,"N/A N/A GenAI for Low Code Platform Leveraging AI product in the HCO-WPA Environment can significantly enhance the efficiency and accuracy of applications development while improving user outcomes. By automating repetitive tasks and providing intelligent suggestions, product simplifies app building, reducing development time and minimizing errors. For scenarios like delivering pay period updates, successors, and workforce demand, product ensures timely and accurate dissemination of information b",unclear,,,medium,"""Leveraging AI product in the HCO-WPA Environment ... product simplifies app building"" -- a low-code AI product (likely Power Platform Copilot) but never named."
Treasury,Generative AI for Form 1040X: Support Tool for Amended Returns (STAR),N/A N/A Generative AI for Form 1040X: Support Tool for Amended Returns (STAR) N/A N/A,agency_internal_system,,,low,"Only the title ""Support Tool for Amended Returns (STAR)"" (rest is N/A) -- named internal IRS tool; no vendor info."
Treasury,Handbook Highlights,"N/A N/A Handbook Highlights The Comptroller’s Handbook contains extensive, detailed guidance that examiners must review and interpret to support supervisory activities. Manually navigating and summarizing this material is time-consuming and can delay exam preparation or issue analysis. The AI is intended to streamline this process by quickly summarizing relevant sections of the handbook, enabling staff to more efficiently access key concepts, expectations, and procedural guidance. The AI improve",agency_internal_system,,,low,"""The AI is intended to streamline this process by quickly summarizing relevant sections of the handbook"" -- OCC internal GenAI application; no product named."
Treasury,IDV Model,"N/A N/A IDV Model This model helps forecast long-term inventory turnover to improve IDV utilization and support proactive funding requests. IDV model helps forecast long-term inventory turnover, enabling smarter IDV utilization and proactive funding alignment to support sustained mission readiness.",agency_internal_system,,,high,"""IDV model helps forecast long-term inventory turnover, enabling smarter IDV utilization"" -- named internal forecasting model."
Treasury,IRS IaaP Accelerator ( AI-Powered Infrastructure as a Product Accelerator),"N/A N/A IRS IaaP Accelerator ( AI-Powered Infrastructure as a Product Accelerator) Federal agencies face slow, manual, and error-prone infrastructure delivery: Cloud adoption is blocked by governance bottlenecks (NIST, FedRAMP, IRS 1075). Compliance evidence is manual and audit-heavy. Developers struggle with multi-cloud complexity and vendor lock-in. Security drifts accumulate until quarterly reviews, leading to delayed taxpayer service delivery. The IRS IaaP Accelerator embeds AI Personas (Arc",agency_internal_system,,,medium,"""IRS IaaP Accelerator ( AI-Powered Infrastructure as a Product Accelerator)"" -- named internal initiative; no commercial product named."
Treasury,Identity Verification,N/A N/A Identity Verification Improves identity document verification process for IRS users who complete the registration process. The expected benefit of this AI use case is to detect submissions of forged identity documents. Improvements to identity verification process to enable taxpayers to access IRS online services.,map_to_existing,ID.me,,medium,"""Improves identity document verification process for IRS users who complete the registration process ... detect submissions of forged identity documents"" -- IRS online-account registration identity proofing runs on ID.me (catalog entry); product not literally named in text, hence medium."
Treasury,Ink and Paper Consumption Forecast (IPCF),N/A N/A Ink and Paper Consumption Forecast (IPCF) The Ink and Paper Consumption Forecast (IPCF) AI model is intended to predict: 1. Ink mileage predictions based on ink type and associated denom; 2. Ink consumption predictions based on number of sheets; 3. Paper consumption predictions given a time period; 4. Ink consumption predictions given a time period The IPCF Predictive Analytics Model contributes to cost efficiency and supply chain resilience by predicting ink mileage based on ink type an,agency_internal_system,,,high,"""The Ink and Paper Consumption Forecast (IPCF) AI model is intended to predict"" -- named internal BEP model."
Treasury,Integrate Word Processor AI for Digitalization,"N/A N/A Integrate Word Processor AI for Digitalization The intended purpose of the Digitalization Enablement Platform (DEP) and the integration of AI into processing taxpayer submitted documents is to minimize the transcription and storage of paper documents, streamline case management, and enhance the accuracy and efficiency with which taxpayer information is extracted, organized, and made accessible. The expected benefits include a massive reduction in physical storage requirements, cost savin",agency_internal_system,,,medium,"""the Digitalization Enablement Platform (DEP) and the integration of AI into processing taxpayer submitted documents"" -- internal IRS platform; no product named."
Treasury,Integrated Financial Management Information System (IFMIS),"N/A N/A Integrated Financial Management Information System (IFMIS) This initiative enables quantitative decision-making that supports improved budget forecasting, formulation, planning, execution, and reporting based on approved methodologies. The outcome will be a deeper understanding of IT interdependencies and integrated processes and systems.",agency_internal_system,,,medium,"""Integrated Financial Management Information System (IFMIS) ... supports improved budget forecasting"" -- government financial system; no commercial AI product named."
Treasury,Internal Revenue Manual Research Aid (IRMA),N/A N/A Internal Revenue Manual Research Aid (IRMA) The Internal Revenue Manual (IRM) Research Aide (IRMA) is a generative AI (GenAI) system that uses Retrieval Augmented Generation (RAG) search to answer questions on IRM policies and procedures that are asked in natural language. This tool has a custom user interface (UI) and utilizes a COTS platform via Application Programming Interface (API) to perform the RAG search and generate responses based on the full text of the IRM serving as a knowle,agency_internal_system,,,high,"""IRMA ... has a custom user interface (UI) and utilizes a COTS platform via Application Programming Interface (API)"" -- named internal IRS GenAI tool; the underlying COTS platform is not identified (heuristic Aretec SEARCH not supported by the text)."
Treasury,Inventory Replenishment Forecast,"N/A N/A Inventory Replenishment Forecast This model helps reduce supply chain disruptions by forecasting vendor performance and item stockouts. It enables proactive sourcing decisions, improves inventory planning, and strengthens operational readiness. Inventory Replenishment Forecast model helps identify underperforming vendors and forecast item stockouts, enabling proactive sourcing, improved inventory planning, and reduced supply chain disruptions to support mission continuity.",agency_internal_system,,,high,"""Inventory Replenishment Forecast model helps identify underperforming vendors and forecast item stockouts"" -- named internal model."
Treasury,Knowledge Retrieval Chatbot POC,"N/A N/A Knowledge Retrieval Chatbot POC Contextual Research (Exploring policies, regulations, trends, and strategic topics). Knowledge Retrieval (Locating known information and presenting or analyzing the information). The customer would like to test the use of a chatbot that could access all of their relocation policies (FTR, DSSR, FAM, JTR, ARC Relocation Guide, etc.) in an effort to aid in the amount of time they are searching for stuff in the regulations.",unclear,,,low,"""The customer would like to test the use of a chatbot that could access all of their relocation policies"" -- POC chatbot; cannot tell from the text whether commercial or internal, no name given."
Treasury,Large Language Model (LLM) Chatbot for Proof of Concept,"N/A N/A Large Language Model (LLM) Chatbot for Proof of Concept Code Assistance - Generating, debugging, and documenting code Test PaaS to assist developers.  The LLM will generate comments and documentation alongside code snippets, promoting better code understanding and maintainability.  The LLM works with COBOL, JAVA, Angular, and other programming languages, making it versatile for multi-language projects.  The LLM has the ability to catch common mistakes, improving code quality and reducing",unclear,,,low,"""Test PaaS to assist developers.  The LLM will generate comments and documentation"" -- an LLM PaaS is being tested but never named."
Treasury,Large Language Model (LLM) Coding for Proof of Concept,"N/A N/A Large Language Model (LLM) Coding for Proof of Concept Searching for agency information using a knowledge retrieval system. Contextual Research (Exploring policies, regulations, trends, and strategic topics). Test standing up an LLM and train it using documentation such as PDF files and web pages to be knowledgeable of internal systems.  Subsequently use the LLM to power a chat bot that will be used by internal customers.  Test to see if the chatbot can provide fast and consistent answer",unclear,,,low,"""Test standing up an LLM and train it using documentation such as PDF files"" -- experiment with an unnamed LLM; build-vs-buy undeterminable from the text."
Treasury,Line-Item Consolidation for Form 1120,"N/A N/A Line-Item Consolidation for Form 1120 Large Business & International (LB&I) partnerships have a variety of forms and statements that include text. Filings include semi-structured attachments to returns that consist of many short free text labels paired with dollar amounts. Short text labels that include information like descriptions, addresses, and alphanumeric type codes. Non-standard labels are difficult to structure and interpret unstructured narrative text, ranging from a sentence to",agency_internal_system,,,high,"""Filings include semi-structured attachments to returns that consist of many short free text labels"" -- internal IRS NLP model for Form 1120; no product."
Treasury,Local GenAI Pilot,"N/A N/A Local GenAI Pilot Local Large Language Models (LLMs) will help in local no software/hardware (SW/HW) cost. LLMs will position IRS for sustainable AI services and AI tool integrations and mitigate many risks [Several Risks Mitigated Include: vendor lock-in, licenses shortages or over purchasing, SW costs or per Application Programming Interface (API) call costs, contract gaps and access loss with outsourcing, and data privacy policies and interagency agreements restricting data leaving th",agency_internal_system,,,medium,"""Local Large Language Models (LLMs) will help in local no software/hardware (SW/HW) cost ... mitigate ... vendor lock-in"" -- locally hosted open LLMs run in-house; no commercial product to attribute."
Treasury,Local LLMs Evaluation,N/A N/A Local LLMs Evaluation AI Enablers (Enterprise solutions that enable AI to integrate into IT services infrastructures) An open-source tool that allows you to run large language models (LLMs) locally on your own computer. Can be used to run and experiment with various LLM's locally and gain greater control over data .,unclear,,,medium,"""An open-source tool that allows you to run large language models (LLMs) locally on your own computer"" -- almost certainly a specific runner (e.g., Ollama or LM Studio) but the tool is not named in the text."
Treasury,Machine Translation,"N/A N/A Machine Translation To better facilitate and automate content translation efforts at the IRS, a cloud-based commercial off-the-shelf (COTS) solution is being leveraged for use by the Linguistic, Policy, Tools and Services (LPTS) Team. The Machine Translation (MT) application is being assessed and evaluated by the primary users, the Linguistic Policy, Tools and Services (LPTS) organization, through integration with their existing processes. The MT application focuses on translation for ex",unclear,,,medium,"""a cloud-based commercial off-the-shelf (COTS) solution is being leveraged"" for machine translation -- a commercial MT product is in use but never named."
Treasury,Meeting Minute Summarization,"N/A N/A Meeting Minute Summarization Ability to synthesize information based on extensive discussions, action items, and decisions that must be captured accurately in meeting minutes. Manual compilation of these minutes is time-consuming, varies in quality, and can distract staff from active participation. The AI is intended to streamline this process by producing clear, organized summaries of meeting discussions, reducing the burden on staff and improving consistency in how meeting outcomes are",unclear,,,low,"""The AI is intended to streamline this process by producing clear, organized summaries of mee[tings]"" -- some AI summarization tool is in use; identity undeterminable from the text."
