agency,use_case_name,source_text,decision,mapped_products,proposed_new,confidence,reasoning
DOE,Microsoft Teams,Microsoft GSS Microsoft Teams N/A AI was automatically integrated into the product without an identified benefit to the organization.,map_to_existing,Microsoft Teams,,high,"""Microsoft GSS Microsoft Teams"" — names the catalog product Microsoft Teams directly."
DOE,Microsoft Teams Classic,Microsoft GSS Microsoft Teams Classic N/A AI was automatically integrated into the product without an identified benefit to the organization.,map_to_existing,Microsoft Teams,,high,"""Microsoft Teams Classic"" is the classic client of the same product; maps to catalog Microsoft Teams."
DOE,NLCOO AI for Lessons Learned tool,"No Vendor Involved Authorization to Operate Amazon Web Service Federal Risk and Authorization Management Program Infrastructure as a Service Cloud Service Provider, Amazon Web Service Information System Security Plan, SD-006-CP-002/L2 NLCOO AI for Lessons Learned tool Provide best Lessons Learned based on the Problem a user is trying to address. Better search to gain insights from exisitng lessons learned to improve how we do work.",map_to_existing,NLCOO Lessons Learned AI,,high,"""NLCOO AI for Lessons Learned tool"" matches catalog entry NLCOO Lessons Learned AI; surrounding text is AWS ATO boilerplate, not a product."
DOE,OpenAI ChatGPT Pilot,OpenAI OpenAI OpenAI ChatGPT Pilot Quick access to general knowledge. Ability to quickly find and access general knowledge and business productivity,map_to_existing,ChatGPT,,high,"""OpenAI ChatGPT Pilot"" — direct use of ChatGPT."
DOE,PDF Analyzer,"Accenture Federal Services, Google OCIO Google Cloud Platform PDF Analyzer Summarization and knowledge retrieval. PDF Analyzer will enable teams across the DOE to upload large PDFs and ask questions and generate content related to those PDFs.",map_to_existing,Google Cloud Platform,,medium,"""OCIO Google Cloud Platform PDF Analyzer"" — PDF Analyzer is a DOE-internal tool built on the catalog product Google Cloud Platform (Accenture/Google integrators)."
DOE,PWS Builder,"Accenture Federal Services, Google OCIO Google Cloud Platform PWS Builder Improved speed to create a performance work statement document. DOE employees would be able to quickly and accurately draft performance work statements for projects both net-new and in-flight. This would greatly reduce the time needed to get a project up and running.",map_to_existing,Google Cloud Platform,,medium,"""OCIO Google Cloud Platform PWS Builder"" — internal DOE drafting tool built on Google Cloud Platform."
DOE,Project Optimus - Prime Contract,Not available optimus.hpc.inl.gov Project Optimus - Prime Contract Not available Improves contract lifecycle efficiency and compliance tracking.,agency_internal_system,,,medium,"""optimus.hpc.inl.gov"" with vendor ""Not available"" — INL-hosted internal contract-lifecycle tool, not a commercial product."
DOE,QuantomVision,Open AI  QuantomVision Workforce upskilling Predict workforce evolution  and analiyze skills mapping.,unclear,,,low,"""Open AI  QuantomVision"" — QuantomVision is not a known OpenAI or commercial product; cannot verify whether it is a vendor tool or an internal mislabel."
DOE,SQL Server Management Studio,Microsoft GSS SQL Server Management Studio N/A AI was automatically integrated into the product without an identified benefit to the organization.,map_to_existing,SQL Server Management Studio,,high,"""GSS SQL Server Management Studio"" — exact catalog product."
DOE,Safeguards Digital Twin,Not available  Safeguards Digital Twin This deals with international safeguars approaches. Reduce the burden for inspectors by increasing synthesizing data and announcing anomalies.,agency_internal_system,,,medium,"""Safeguards Digital Twin"" with vendor ""Not available"" — internal NNSA/DOE international-safeguards R&D system, no commercial product named."
DOE,"Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS)","Microsoft R&D User Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS) Improving Information Access, Understanding, and Productivity through Language Automation Accelerates scientific discovery and next-gen computing for earth and embedded systems.",map_to_existing,SEA-CROGS,,high,"""(SEA-CROGS)"" matches catalog entry SEA-CROGS; Microsoft is only the listed platform vendor."
DOE,ServiceNow AI Search,Cloud Enclave ServiceNow AI Search Intelligent query features help you quickly find the answers ServiceNow users need. 1) Enhancing employee productivity and efficiency.,propose_new,,ServiceNow AI Search (ServiceNow),high,"""ServiceNow AI Search Intelligent query features"" — real named ServiceNow product distinct from catalog's ServiceNow Now Assist; missing from catalog."
