agency,use_case_name,source_text,decision,mapped_products,proposed_new,confidence,reasoning
DHS,3rd Party Traveler Identity Verification Services,"NEC Traveler Verification Service 3rd Party Traveler Identity Verification Services Biometric Exit processing fulfills a Congressional mandate. TVS is a cloud-based facial biometric matching service that enables CBP, External Partners, and Other Government Agencies (OGA) to match a passenger’s identity against a trusted source, throughout the travel continuum, which improves traveler facilitation and reduces manual identity verification.",map_to_existing,Traveler Verification Service ;; NEC NeoFace,,high,"'NEC Traveler Verification Service' - TVS is the CBP facial matching service, NEC supplies the matching algorithm; both are catalog entries."
DHS,AI Interview Simulator for Officer Training,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI) Global AI Interview Simulator for Officer Training By simulating realistic applicant responses to officer questions, the AI Interview Simulator enables the RAIO trainees to refine their interview techniques without requiring any additional resources from experienced officer trainers or peers. The AI Interview Simulator mimics live interviews to provide an analysis of the type of responses elicited in a mock interview.",map_to_existing,RAIO AI Interview Simulator,,high,'the AI Interview Simulator enables the RAIO trainees to refine their interview techniques' - this is the catalog's RAIO AI Interview Simulator (built by Steampunk/CVP/AOI).
DHS,AI Resume & ATS App,"AI Resume & ATS App Speed and scale: During disasters, resume volume spikes and manual review can’t keep up; Format variability: Resumes arrive as PDFs, Word files, text, and scans, making uniform processing difficult; Consistency: Different reviewers apply criteria differently, leading to uneven shortlists and missed candidates; Traceability and defensibility: Hiring choices must be fast, explainable, and audit ready; Searchability: Teams need to quickly find candidates with specific qualificat",unclear,,,medium,"No vendor or product named; text is capability prose ('resume volume spikes and manual review can't keep up'). Possibly the AIS resume tool used elsewhere at DHS, but undecidable from this row. Heuristic candidates (Aretec SEARCH, Microsoft Teams) are spurious."
DHS,AI-Assisted Resume Screening Tool,"AIS  AI-Assisted Resume Screening Tool This use case intends to solve the problem of human bias during resume reviews and the time-intensive process of reviewing candidate resumes. This solution applies the same review criteria to every candidate’s resume. This reduces human cognitive bias and variability in how HR specialists evaluate candidate resumes. Additionally, this solution speeds up the time-to-hire by reducing the amount of time spent conducting manual candidate resume reviews.",map_to_existing,AIS Resume Screening Tool,,high,vendor_name 'AIS' on an 'AI-Assisted Resume Screening Tool' - matches catalog 'AIS Resume Screening Tool'.
DHS,API Security Vulnerability Technology,"API Security Vulnerability Technology Discover, ingest, and analyze APIs to create and run thousands of custom attack scenarios against every build prior to production. Catch security vulnerabilities as early in the software development life cycle (SDLC) as possible. Educate and empower security and dev teams on sound API security strategies. With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run tho",unclear,,,medium,"No vendor or product named; text describes an API security testing capability ('run thousands of custom attack scenarios against every build'). Sounds like a COTS API-security product but the name never appears. Candidates (Custom In-House AI, Microsoft Teams) are spurious."
DHS,Acoustic Signature AI for Gunshot Detection,"Invariant Corporation  Acoustic Signature AI for Gunshot Detection The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface. Gunshot and UAS detection notifications can be used by Agents for enhanced situational awareness in their area of operations. By utilizing this AI learning technology, they will have high confidence of alerts of a detection, with the specific type, ",map_to_existing,Invariant Acoustic Signature AI,,high,'Invariant Corporation' vendor on gunshot acoustic-signature AI - catalog 'Invariant Acoustic Signature AI'.
DHS,AdaptiveMFA,"Okta The DHS Next Generation Authentication as a Service (DHSAuthPortal) System AdaptiveMFA Enhances security and the user experience, including: Behavioral Anomaly Detection - AI monitors user activity over time to establish a baseline pattern of their behavior.  If a login attempt deviates significantly, such as logging in from a foreign country, unknown workstation, or disallowed IP address space, Okta can trigger Adaptive Multi-factor Authentication (aMFA) to block access. Adaptive MFA - Okt",map_to_existing,Okta Adaptive MFA,,high,'Okta ... AdaptiveMFA ... Behavioral Anomaly Detection' - catalog 'Okta Adaptive MFA'.
DHS,Airship Outpost for Conveyance Identification,"Airship TECS CLOUD Airship Outpost for Conveyance Identification CBP must efficiently and accurately identify and document cross-border conveyances (aircraft, vessels, automobiles). Outpost uses machine learning to identify the type of conveyance in front of the sensor camera and uses this information to determine where to capture the conveyance's identification (License plate, hull number, tail number, etc). Conveyance identifiers exist in different locations on different conveyance types. By i",map_to_existing,Airship AI Platform,,medium,'Airship ... Outpost uses machine learning to identify the type of conveyance' - Outpost is an Airship AI edge product; catalog carries only the platform-level entry 'Airship AI Platform'.
DHS,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002 Trusted Automated eXchange of Indicator Information server Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data To enhance privacy, this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII for review and removal by CISA analysts. Automated PII Detection and Review Process uses analytics to identify and manage potential ",map_to_existing,Nightwing PII Detection,,high,"'Nightwing Intelligence Solutions, LLC ... this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII' - catalog 'Nightwing PII Detection'."
DHS,Automated Incident Creation (IT),"Automated Incident Creation (IT) The AI is intended to reduce the time and effort required of a business analyst to manually review contact messages submitted to the Business Connection (BC) and Technical Reference Model (TRM) teams. By evaluating these messages, the AI will determine whether a ServiceNow helpdesk ticket is needed to resolve the submitted question or concern. This automation will streamline the process and ensure timely resolution of user issues. AI will be used to drive automat",unclear,,,medium,"AI tool itself is unnamed; 'the AI will determine whether a ServiceNow helpdesk ticket is needed' names ServiceNow only as the ticket destination, not as the AI product. Could be Now Assist or a custom build - undecidable."
DHS,Biometric Check-in for ATD-ISAP (SmartLINK),"BI ISAP IV (SmartLink) IATSS Biometric Check-in for ATD-ISAP (SmartLINK) This use case intends to solve the problem of the need for frequent in-person check-ins for participants in the ATD-ISAP program. ISAP Biometric Monitoring App is a technology option that allows participants to report in using a smartphone. This app verifies a participant’s identity, determine their location, and quickly collect status change information. The app adds functionality not available with telephonic and is less ",map_to_existing,BI SmartLINK,,high,'BI ISAP IV (SmartLink)' biometric check-in app - catalog 'BI SmartLINK' (BI Incorporated).
DHS,Business Automation and Improved Search Ability with AI,"Business Automation and Improved Search Ability with AI The Business Connection (BC ) and Technical Reference Model (TRM) teams have identified areas in which business automation can accelerate use for both business analysts in making determinations and improving the ability of end-users to search for the information that they need more quickly. AI will be used to drive automation via integration with ServiceNow, automatically classifying products, suggest alternatives, validate the vendors head",unclear,,,medium,'AI will be used to drive automation via integration with ServiceNow' - ServiceNow is the integration target; the AI tool itself is unnamed (same BC/TRM program as the incident-creation row). Undecidable between Now Assist and a custom build.
DHS,CBP Link,"IProov Traveler Verification Service CBP Link CBP Link utilizes liveness to ensure the photo that TVS it utilizing to conduct facial matching to CBP holdings is of a live person and not a photo of a 2-D image and well as validate the presence of a specific user when collecting geolocation to validate that person is in the required location. CBP Link uses liveness detection and TVS uses facial recognition to compare live or uploaded images with CBP's database, enabling real-time identity verifica",map_to_existing,iProov ;; Traveler Verification Service,,high,"'IProov ... CBP Link utilizes liveness ... TVS uses facial reco[gnition]' - iProov liveness plus CBP's Traveler Verification Service, both in catalog."
DHS,CISAChat,"Microsoft  CISAChat Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation. Currently, multiple CISA program offices are using contractor ",map_to_existing,CISAChat,,high,'Microsoft  CISAChat' - CISAChat is the catalog product; bare 'Microsoft' is a generic vendor mention (excluded per 2026-05 retag rule).
DHS,Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only),Department of State  Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only) On-demand facial recognition services. DHS Components use the Facial Recognition (FR) on Demand report (Visa only) to combat fraud by benefit applicants whose fingerprints are not in IDENT but who may have photos in the Department of State's (DoS) Consular Consolidated Database (CCD) that predate the fingerprinting of visa applicants.,map_to_existing,Consular Consolidated Database Facial Recognition,,high,'Department of State ... Facial Recognition (FR) on Demand report (Visa only) ... Consular Consolidated Database (CCD)' - catalog 'Consular Consolidated Database Facial Recognition'.
DHS,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor),"IDEMIA Identity, Security USA LLC STIP/CAT Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor) Improving the detection of imposters. The Transportation Security Administration (TSA) uses AI-based, one-to-one (1:1) and one-to-many (1:n) facial matching technologies at some checkpoints to assist human reviewers with traveler identity verification. The purpose and expected benefits of the technology include increased speed and accuracy of ide",map_to_existing,IDEMIA CAT-2/AutoCAT,,high,"'IDEMIA Identity, Security USA LLC ... Credential Authentication Technology with Camera System (CAT-2) and AutoCAT' - catalog 'IDEMIA CAT-2/AutoCAT'."
DHS,Cryptocurrency Analysis,"TRM Labs  Cryptocurrency Analysis Identification of transactions that may have been made with a designated entity, company, or location that may be using crypto to circumvent financial reporting. This tool will help CBP identify business and travelers who may be using cryptocurrency to conceal illicit transactions not reported within the U.S. financial system. Quicker identification of risks related to cryptocurrency accounts to aid in addressing potential admissibility concerns (in lieu of comp",map_to_existing,TRM Labs Blockchain Analysis Platform,,high,'TRM Labs  Cryptocurrency Analysis ... crypto to circumvent financial reporting' - catalog 'TRM Labs Blockchain Analysis Platform'.
DHS,Customs Broker License Exam - Proctor Support,"PDRI  Customs Broker License Exam - Proctor Support Detect potential cheating during the Customs Broker License Exam. The model supports remote proctoring of the exam and ensure the integrity of the testing process, by ensuring the exam is conducted under secure conditions, preventing cheating or fraud, while also verifying the identity of exam takers to confirm they meet the necessary requirements.",map_to_existing,PDRI Remote Proctor,,high,'PDRI ... The model supports remote proctoring of the exam' - catalog 'PDRI Remote Proctor'.
DHS,"Cybersecurity Threat Management, Detection, and Response","Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity Xploitation Platform Leveraging Offensive Information Technology, Phishing Defense Solution, Audit Log Management Solution (ALMS), Endpoint Detection and Response, EMVEC Cybersecurity Threat Management, Detection, and Response This use case intends to solve the problem of detecting and responding to cybersecurity threats in a timely manner. These AI capabilities provide security analysts with modern tools to identify and respond to threat",propose_new,Illumio ;; AttackIQ ;; Cofense PhishMe ;; Splunk ;; Crowdstrike Falcon,Polarity (Polarity.io),high,Compound vendor list 'Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity' - five map to catalog entries; Polarity (commercial data-overlay/observability platform used in SOCs) is missing from the catalog.
DHS,ELIS Card Photo Validation Service,"SAIC and DV United ELIS ELIS Card Photo Validation Service The card photo validation solution was developed to validate each submitted photo against a set of business-defined requirements in near-real-time in order to eliminate rejections/RFEs for the user uploaded photos. Ensuring beneficiary uploaded photos meet USCIS requirements. This helps ensure photos are correct before making ID cards, saving adjudicator time and avoiding delays.",map_to_existing,ELIS Card Photo Validation Service,,high,'SAIC and DV United ELIS ELIS Card Photo Validation Service ... validate each submitted photo' - exact catalog entry 'ELIS Card Photo Validation Service'.
DHS,ELIS Evidence Classifier Service,"SAIC and DV United ELIS ELIS Evidence Classifier Service The adjudicators and contractors spends too much time sifting through digital evidence documents for relevant information. To enable end users to navigate directly to the page(s) containing evidence documents of interest instead of sifting through large PDF documents. Evidence tagging intends to accelerate case processing by identifying specific types of documents (e.g., I-589, passport photo spread, marriage certificate) and applying a me",map_to_existing,ELIS Evidence Classifier Service,,high,'ELIS Evidence Classifier Service ... Evidence tagging intends to accelerate case processing' - exact catalog entry.
DHS,ERNIE,"Countering Weapons of Mass Destruction, Department of Homeand Security Automated Radiological Data Integration System - Cloud (ARDIS-C) ERNIE ERNIE is used to analyze Radiation Portal Monitor (RPM) data to enhance the detection of radioactive materials. It provides a more efficient review of stream of commerce radiation portal monitor data and provides real-time risk assessments and alerts for potential threats The model enhances threat detection and prioritizes high-risk targets, improving oper",map_to_existing,ERNIE Radiological Detection,,high,'ERNIE is used to analyze Radiation Portal Monitor (RPM) data' for DHS CWMD - catalog 'ERNIE Radiological Detection'.
DHS,Enhanced Lead Identification and Targeting,"Palantir Palantir Federal Cloud Service Enhanced Lead Identification and Targeting The AI is intended to solve the problem of unstructured, hard‑to‑read address information in records like rap sheets and warrants, which makes it difficult and time‑consuming for Enforcement and Removal Operations officers to extract accurate addresses and build usable enforcement leads. The integration of AI enhances data extraction capabilities and decreases the time spent on manual data normalization tasks. Thi",map_to_existing,Palantir Federal Cloud Service,,high,'Palantir Palantir Federal Cloud Service Enhanced Lead Identification' - exact catalog entry; 'Rangeland Analysis Platform' candidate is spurious.
DHS,Executive Summary GPT,Microsoft (Azure Commercial OpenAI Cloud Offerings) ReadyAI Executive Summary GPT Provides the ability for users to upload documents and provide an executive summary on those documents. Quickly analyze lengthy or complex documents for relevance to FEMA and/or to provide a high level summary for leadership on potential impacts.,map_to_existing,Azure OpenAI ;; Ideation ReadyAI,,high,'Microsoft (Azure Commercial OpenAI Cloud Offerings) ReadyAI Executive Summary GPT' - FEMA GPT built on Azure OpenAI within the ReadyAI platform (catalog 'Ideation ReadyAI').
DHS,Facial Recognition for Investigations of Child Sexual Exploitation and Abuse,Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Investigations of Child Sexual Exploitation and Abuse This use case intends to solve the problem of identifying unknown victims and offenders depicted in child sexual abuse material. The tool helps more quickly identify previously unknown victims and offenders who might not be discovered through manual investigative methods alone. By highlighting potentially relevant photographs or profiles across publicly ava,unclear,,,medium,Vendor and system both redacted as 'Law Enforcement Sensitive (LES)' - the facial recognition product is deliberately withheld; cannot attribute from the text.
DHS,Facial Recognition for Investigations of Transnational Criminal Organizations,"Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Investigations of Transnational Criminal Organizations The problem this use case solves is the challenge of identifying unknown individuals involved in transnational criminal activities, such as violent crimes, drug trafficking, human smuggling, and financial fraud. The facial recognition service reduces the time investigators spend manually searching for images online and helps them discover potentially relev",unclear,,,medium,Vendor and system both redacted as 'Law Enforcement Sensitive (LES)' - facial recognition product withheld; cannot attribute.
DHS,Facial Recognition for Locating Vulnerable Populations,"Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Locating Vulnerable Populations The use case addresses the challenge of identifying and locating members of vulnerable populations, such as unaccompanied minors who have crossed the border, whose identities and locations are unknown to law enforcement. The facial recognition service reduces the time personnel spend manually searching for images online and helps them discover potentially relevant photographs or",unclear,,,medium,Vendor and system both redacted as 'Law Enforcement Sensitive (LES)' - facial recognition product withheld; cannot attribute.
DHS,GenAI for Document Summarization and Content Generation,"Meta, OpenAI, Google, Anthropic  GenAI for Document Summarization and Content Generation Workforce enablement and efficiency through the implementation of Generative AI / Large Language Models (LLM) Improving Operational Efficiency: Automating information retrieval, reducing manual review time, and streamlining workflows will lead to significant time savings and increased productivity for CBP personnel. This translates to cost savings and allows agents to focus on higher-priority tasks. 

Enhanc",map_to_existing,Claude ;; OpenAI API ;; Llama ;; Gemini,,medium,"'Meta, OpenAI, Google, Anthropic' listed as vendors for 'Generative AI / Large Language Models (LLM)' - in an LLM use case these resolve to the providers' foundation-model products (Llama, OpenAI API, Gemini, Claude), all in catalog; medium because products are inferred from vendor names."
DHS,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation),"Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation) Using the Automated Biometric Identification System (IDENT) makes this process nearly instant and greatly enhances processing efficiency without compromising the effectiveness of current identity verification methods. Additionally, new rules created by the FBI’s Compact Council require biometric verification to perform fingerprint resubmissions for different filing",map_to_existing,USCIS Customer Profile Management System Facial Recognition,,high,'Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT (1:1 ...)' - catalog 'USCIS Customer Profile Management System Facial Recognition'.
DHS,Investigative Prioritization Aggregator,"Sandia National Laboratories Repository for Analytics in a Virtualized Environment Investigative Prioritization Aggregator This use case intends to solve the problem of overwhelming data volumes that make it difficult for HSI personnel to prioritize high-value targets in criminal investigations. The sheer volume of data associated with investigations often overwhelms human capabilities, making it challenging for HSI personnel to analyze evidence and identify key players in criminal networks. Cur",map_to_existing,RAVEn Investigative Prioritization Aggregator,,high,'Sandia National Laboratories Repository for Analytics in a Virtualized Environment Investigative Prioritization Aggregator' - RAVEn is HSI's Repository for Analytics in a Virtualized Environment; catalog 'RAVEn Investigative Prioritization Aggregator'.
DHS,LIGER Generative AI Toolkit,"LMI Consulting, LLC  LIGER Generative AI Toolkit LIGER® for FPS will enable FPS users to employ the power of a Large Language Model (LLM) against non-public and sensitive Agency documents to save time and effort conducting time-intensive tasks, such as draft documents to include: Position Descriptions (PD), Statement of Work (SOW) for contracting actions, Professional emails and workforce announcements, Public Affairs stories and releases, and Law Enforcement operations orders; Summarization of ",map_to_existing,LIGER Generative AI Toolkit,,high,"'LMI Consulting, LLC  LIGER Generative AI Toolkit ... LIGER(R) for FPS' - exact catalog entry 'LIGER Generative AI Toolkit' (LMI Consulting)."
DHS,License Plate Capture and Analysis,"Motorola  License Plate Capture and Analysis The AI is intended to solve the problem of time-consuming manual reviews of license plate images and data, which makes it challenging for investigators to identify relevant vehicle movements and patterns. The AI capabilities reduce the need for manual review of large numbers of license plate images and logs. By streamlining plate reading and providing flexible search and summarization tools, the system helps investigators more quickly identify potenti",map_to_existing,Motorola License Plate Recognition,,high,'Motorola  License Plate Capture and Analysis ... streamlining plate reading' - catalog 'Motorola License Plate Recognition'; Aretec SEARCH candidate is spurious.
DHS,Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.,"Leidos, Rohde & Schwarz  Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening. Increase passenger throughput via improve detection performance and decreasing alarm rates and passengers touch rates by 50% The purpose is to reduce alarm rates while providing increased passenger throughput and experience.

Utilizes Machine Learning (ML) to improve detection performance while decreasing alarm rates and passengers touch rates. The algorithm is gender agnostic which no longer req",map_to_existing,Rohde & Schwarz QPS Walk-Through Scanner,,medium,"'Leidos, Rohde & Schwarz ... Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening' - maps to catalog 'Rohde & Schwarz QPS Walk-Through Scanner'; the Leidos AIT component is co-listed but no specific Leidos product is named, so it is not separately attributable."
