agency,use_case_name,bureau_component,current_scope,proposed_scope,proposed_is_enterprise_wide,confidence,reasoning,evidence_url
DOL,DAISI ( DOL AI Search Insights),OCIO,bureau,enterprise_wide,1,medium,"UPGRADE: AI search assistant over internal DOL intranet content for information discovery — OCIO-operated department-wide employee tool, deployed.",
DOL,Generative AI AssistantI  ( AI Center),OCIO,bureau,enterprise_wide,1,medium,UPGRADE: DOL's in-house GenAI solution (AI Center) for department business use cases — continuation of the 2024 row tagged department-wide; deployed.,
DOT,DOT Generative AI (GenAI) Policy,"CAIO, OST-P, OCIO, OST-R",bureau,enterprise_wide,1,medium,"UPGRADE with flag: explicitly 'DOT-wide generative AI policy' — department-wide by definition, but it is a policy effort, not a deployed tool; exclude from deployed-tool stats.",
ED,Generative AI - System Testing,Office of the Chief Information Officer,bureau,bureau,0,medium,"KEEP bureau: despite the family narrative, this row is OCIO security testing of prompt filters/DLP — an internal OCIO function, not a workforce tool.",
ED,Generative AI - Text Generation,Contracts & Acquisitions Management,bureau,enterprise_wide,1,medium,UPGRADE: part of ED's OpenAI API capability family — 'generate materials for Department staff'; consistent with the family rows kept enterprise in the claims check.,
ED,Speech to Text Meeting Transcription,Office of the Under Secretary,bureau,bureau,0,medium,KEEP bureau: Otter.ai transcription in the Office of the Under Secretary; no evidence of department-wide licensing.,
FDIC,Plain Language Policy Assistant,Chief Information Officer Organization,bureau,bureau,0,medium,KEEP bureau: Retired CIO-org tool; no evidence of agency-wide reach.,
FDIC,Social Listening,"Office of Communications, Division of Complex Institution Supervision & Resolution, Legal Division, Division of Risk Management Supervision",bureau,bureau,0,high,"KEEP bureau: Meltwater social-listening for four named divisions — multi-division, not enterprise.",
FHFA,"Analytics,, Search, Queries and LLM integration for data management on Oracle",OCIO,bureau,bureau,0,medium,KEEP bureau: Retired OCIO data-management integration.,
FHFA,Workflow automation and predictive analytics using ServiceNow,OCIO,bureau,enterprise_wide,1,medium,"UPGRADE: ServiceNow Now Assist ITSM at a small single-enterprise agency (~750 staff, no bureaus) — the OCIO service desk serves the whole agency.",
FTC,Azure Databricks Assistance,BE/BC/OCIO,bureau,bureau,0,high,KEEP bureau: data-analyst tooling for the economics/competition bureaus.,
FTC,Microsoft 365 Copilot,OCIO,bureau,enterprise_wide,1,medium,UPGRADE: 'Enhance general productivity of FTC staff' — agency-wide Copilot offering in pilot.,
