agency,use_case_name,verdict,confidence,reasoning
ED,Generative AI - Code Generation,chat_assistant,high,"OpenAI API is prompted with written paragraphs and returns code snippets, with textual-answer output and no IDE/pipeline coupling described."
ED,Generative AI - Code Generation,chat_assistant,high,Identical prompt-in/snippet-out pattern via OpenAI API with no IDE or pipeline integration described.
ED,Generative AI - Code Generation,chat_assistant,high,"AI is given descriptions of desired functions and returns R code snippets via prompting, with no IDE coupling described."
ED,Generative AI - Code Generation,chat_assistant,high,"Prompted with SAS syntax, the AI suggests optimizations as text -- a chat-style Q&A pattern, not editor-embedded."
ED,Generative AI - Code Generation,chat_assistant,high,"Used to train staff on prompt engineering by producing code snippets for comparison; purely prompt-driven, no IDE coupling."
ED,Generative AI - Code Generation,chat_assistant,high,"AI generates sample code snippets from prompts to explain syntax/troubleshooting, matching the chat Q&A pattern."
ED,Generative AI - Code Generation,chat_assistant,high,"AI is used to create sample DAX code from prompts for chart/table creation, with no editor integration described."
ED,Generative AI - Code Generation,chat_assistant,high,"Prompted with descriptive paragraphs, AI generates code snippets for data analysis/visualization -- prompt-based, not IDE-embedded."
ED,Generative AI - Code Generation,chat_assistant,high,"Same prompt-to-snippet pattern (Power BI/Python) described as textual answers, with no IDE/pipeline coupling."
ED,Generative AI - Code Generation,chat_assistant,high,"Prompted with descriptive queries, AI generates code snippets for analysis/visualization -- chat-style, not editor-embedded."
ED,Generative AI - Code Generation,chat_assistant,high,"AI automates creation of Excel macros/formulae from prompts; behavior described is prompt-driven generation, not IDE tooling."
ED,Generative AI - Code Generation,chat_assistant,high,"AI is prompted to generate VBA code/formulas as text snippets, matching the chat Q&A pattern with no IDE coupling."
ED,MS Copilot - Technical Assistance & Code Generation,chat_assistant,high,Named product is Microsoft 365 Copilot generating/refining code from prompts -- the taxonomy's explicit 'M365 Copilot code-chat' example.
DOE,AI Enabled Code Review,unclear,medium,"Use-case name says 'Code Review' (an analysis behavior) but the only stated benefit is 'Expidited code production,' a direct name/narrative contradiction with no tool named."
DOE,GitHub Co-Pilot,ide_autocomplete,high,"GitHub Copilot named, with output described as 'text answers to input questions, code suggestions' -- no agent-mode/multi-step autonomy described."
DOE,GitHub Copilot,ide_autocomplete,high,GitHub Copilot named; narrative describes 'recommendations for code' with no agentic multi-step behavior.
DOE,GitHub Copilot,ide_autocomplete,high,"GitHub Copilot named; output is code recommendations and error/fix suggestions, not autonomous multi-file execution."
DOE,GitHub Copilot with the OpenAI Codex,ide_autocomplete,medium,GitHub Copilot (with Codex) named; narrative mentions 'suggestions and automation' generically without describing autonomous multi-step task execution.
DOE,Scripting,chat_assistant,high,"Gemini is named as the tool generating Python scripting code -- per decision rule 2, Gemini chat defaults to chat_assistant."
DOE,Software Implementation Assistant,ide_autocomplete,high,Tabnine is the named tool_product_name/vendor; per the taxonomy's product-class rule this defaults to ide_autocomplete even though the narrative describes planning/documentation/risk-assessment outputs.
DOE,Tabnine AI Pair Programmer,ide_autocomplete,high,"Use-case name and system/vendor name both explicitly say Tabnine, an autocomplete-class product, despite generic 'engineering velocity' narrative."
Treasury,AI-Augmented Software Modernization and Insight,code_analysis_tool,high,"Narrative explicitly describes automating detection of technical debt/vulnerabilities and proposing refactorings/dependency upgrades for legacy Java/Spring Boot apps -- code understanding/modernization, not authoring."
