agency,use_case_name,bureau_component,stage_normalized,tool_product_name,system_name,vendor_name,development_type,problem_statement,expected_benefits,system_outputs
ED,Generative AI - Code Generation,Federal Student Aid,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When given written paragraphs as prompts, AI generates code snippets in a variety of programming languages. This capability allows users to quickly obtain relevant code tailored to their specific requirements.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Grants Management Policy Division,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When given written paragraphs as prompts, AI generates code snippets in a variety of programming languages. This capability allows users to quickly obtain relevant code tailored to their specific requirements.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Institute of Education Sciences,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"Assisting in the development of code used for data analysis, AI is given descriptions of desired functions and returns snippets of R code.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Institute of Education Sciences,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with SAS Syntax, AI will provide suggestions of code optimization opportunities.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of the Chief Data Officer,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"AI is used to train employees on the benefits of prompt engineering, by providing snippets of code, allowing users to compare the performance of the  generated code.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of the Chief Information Officer,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"AI is utilized to generate sample code snippets that assist users in understanding programming language syntax and addressing troubleshooting challenges by providing clear, contextually relevant examples",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office for Civil Rights,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,AI is used to create sample DAX code to assist in the creation of charts and tables for data analysis.,Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of the Deputy Secretary,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with descriptive paragraphs or specific queries, AI generates code snippets designed to assist with data analysis and data visualizations.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Elementary and Secondary Education,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with descriptive paragraphs or specific queries, AI generates code snippets designed to assist with data analysis and troubleshooting in Power BI and Python. These snippets can include tasks such as creating data visualizations, performing data transformations, writing DAX expressions for Power BI, or debugging Python scripts.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Finance and Operations,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with descriptive paragraphs or specific queries, AI generates code snippets designed to assist with data analysis and data visualizations.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Postsecondary Education,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"Using AI, the creation of Excel Macros and Complex Formulae is automated, expediting data analysis.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Special Education and Rehabilitee Services,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"AI is prompted to generate snippets of VBA code and complex formulas for Excel. These code snippets and formulas assist users in automating tasks, performing advanced data analysis, and enhancing spreadsheet functionality, saving time and improving efficiency.",Textual answers to general purpose questions
ED,MS Copilot - Technical Assistance & Code Generation,Agency Wide,deployed,Microsoft 365 Copilot,ETS-ISS,Microsoft,b) Developed in-house,Coding and technical support tasks are time-consuming for non-experts.,Generate and refine code for statistical and programming tasks to support technical operations.,"Generated code, syntax examples, and refined scripts for various platforms."
DOE,AI Enabled Code Review,ORNL - Oak Ridge National Laboratory (SC43 OIM),pre_deployment,unspecified,,,,Enhance application development lifecycle capabilities,Expidited code production,Code
DOE,GitHub Co-Pilot,RL - Hanford - Richland Operations Office - Hanford (EM),deployed,GitHub Copilot,Hanford Accreditation Boundary (HAB),GitHub,Purchased from a vendor,"quicker, more complete, and safer code development","quicker, more complete, and safer code development","text answers to input questions, code suggestions"
