agency_abbreviation,ai_classification_2025,ai_sophistication_2025,architecture_type_2025,bureau,commercial_ai,deployment_scope_2025,dev_method,dev_stage,entry_type_2025,expected_benefits_2025,is_coding_tool_2025,is_cots_commercial_2025,is_enterprise_wide_2025,is_general_llm_access_2025,is_generative_ai_2025,is_microsoft_copilot_2025,lineage_status,name_2025,outputs,problem_statement_2025,proposed_ai_sophistication,proposed_architecture_type,proposed_confidence,proposed_deployment_scope,proposed_entry_type,proposed_is_anthropic,proposed_is_aws_ai,proposed_is_coding_tool,proposed_is_cots_commercial,proposed_is_enterprise_wide,proposed_is_general_llm_access,proposed_is_generative_ai,proposed_is_github_copilot,proposed_is_google,proposed_is_microsoft_copilot,proposed_is_openai,proposed_is_public_facing,proposed_reasoning,proposed_scope_detail,proposed_tool_product_name,proposed_tool_vendor,proposed_use_type,purpose_benefits,system_name_2025,system_outputs_2025,tool_product_name_2025,tool_vendor_2025,uc_2024_id,uc_2025_id,use_case_id_2024,use_case_name,use_type_2025,vendor_name_2025,w2_flags_json,w2_reasoning,w2_tagged_by,wave1_ai_sophistication,wave1_architecture_type,wave1_confidence,wave1_deployment_scope,wave1_entry_type,wave1_is_anthropic,wave1_is_aws_ai,wave1_is_coding_tool,wave1_is_cots_commercial,wave1_is_enterprise_wide,wave1_is_general_llm_access,wave1_is_generative_ai,wave1_is_github_copilot,wave1_is_google,wave1_is_microsoft_copilot,wave1_is_openai,wave1_is_public_facing,wave1_reasoning,wave1_scope_detail,wave1_tool_product_name,wave1_tool_vendor,wave1_use_type
FTC,Classical/Predictive Machine Learning,general_llm,unknown,BCP,None of the above.,bureau,Developed with contracting resources.,Operation and Maintenance,bespoke_application,Provide automated chatbots capabilities for ReportFraud.ftc.gov and IdentifyTheft.gov and replacing assisted chat services.,0,0,0,0,1,0,continued,Chatbot,Chats,Assisted chat is only available during business hours. Many consumers are left with no option to wait until assisted chat is available if they have questions.,,,,,,,,,,,,,,,,,,,,,,,Delivers unattended chat 24/7 for Identity Tehft.gov and ReportFraud.gov after business hours. Assisted chat is only available during business hours.,Sentinel Network Services,Automated chat responses for ReportFraud.ftc.gov and IdentifyTheft.gov,,,35553,133730,35553,Chatbot,administrative,Leidos,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,nlp_specific,unknown,medium,bureau,bespoke_application,,,,,0,,0,,,,,1,"'Delivers unattended chat 24/7 for IdentityTheft.gov and ReportFraud.gov' — NLP chatbot, public-facing.",BCP,,,mission_critical
FTC,Generative AI,general_llm,unknown,BCP,None of the above.,bureau,Developed with contracting resources.,Initiated,bespoke_application,Enhance developer productivity by improving code quality,0,0,0,1,0,0,continued,Developer Productivity,Application code,Solve challenges and inefficiencies in development,,,,,,,,,,,,,,,,,,,,,,,"FTC is integrating Generative AI (Gen AI), specifically Azure OpenAI GPT-4 (AOI), into our workflow to boost development efficiency.",Sentinel Network Services,Software code with improved quality,,,35556,133734,35556,Developer productivity,administrative,Leidos,"[""drift_legitimate"", ""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,wave2a-continued,coding_assistant,inference_only,high,pilot,bespoke_application,,,1,1,0,,1,,,,1,,"'Azure OpenAI GPT-4 (AOI), into our workflow to boost development efficiency' — GPT-4 coding workflow.",BCP,Azure OpenAI GPT-4,Microsoft/OpenAI,it_operations
NARA,Generative AI,general_llm,custom_trained,,Digitizing text from scanned documents or smart forms for archival purposes using AI.,enterprise_wide,Developed in-house.,Acquisition and/or Development,bespoke_application,"NARA is using AI to automatically find and remove sensitive personal information from its digitized historical records. This will make the process faster, more accurate, and better protect privacy while allowing for greater public access to these records. The AI will also help NARA manage its vast collection and adapt to future privacy needs.",0,0,1,1,0,0,continued,AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records,"This AI use case will produce redacted records, a prioritized list for redaction, and a tool for staff to redact unpublished records.",The AI is intended to solve the problem of manual processing bottlenecks and privacy risks by automating the identification and redaction of sensitive personal information within massive digitized collections to ensure safe and rapid public access.,,,,,,,,,,,,,,,,,,,,,,,"NARA is using AI to automatically find and remove sensitive personal information from its digitized historical records. This will make the process faster, more accurate, and better protect privacy while allowing for greater public access to these records. The AI will also help NARA manage its vast collection and adapt to future privacy needs.",N/A,"This AI use case will produce redacted records, a prioritized list for redaction, and a tool for staff to redact unpublished records.",,,35557,134264,35557,AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records,mission_critical,N/A,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm,wave2a-continued,nlp_specific,unknown,medium,department,bespoke_application,,,,,0,,0,,,,,,'Automatically find and remove sensitive personal information from its digitized historical records' — PII redaction pilot.,,,,mission_critical
NARA,Generative AI,general_llm,custom_trained,,Digitizing text from scanned documents or smart forms for archival purposes using AI.,enterprise_wide,Developed in-house.,Acquisition and/or Development,bespoke_application,"NARA is using AI to automatically create descriptions (metadata) for its digital archives. This will save archivists time, make records easier to find, and help the public better understand the information in the National Archives Catalog.",0,0,1,1,0,0,continued,Auto-fill of Descriptive Metadata for Archival Descriptions,"This AI use case will create more complete and informative descriptions for records, making them easier to find in the National Archives Catalog.","The AI is intended to solve the problem of the ""descriptive gap"" created by labor-intensive manual cataloging by automatically generating metadata and summaries from document content, allowing NARA to process massive backlogs and make millions of records instantly searchable for the public.",,,,,,,,,,,,,,,,,,,,,,,"NARA is using AI to automatically create descriptions (metadata) for its digital archives. This will save archivists time, make records easier to find, and help the public better understand the information in the National Archives Catalog.",N/A,"This AI use case will create more complete and informative descriptions for records, making them easier to find in the National Archives Catalog.",,,35559,134266,35559,Auto-fill of Descriptive Metadata for Archival Descriptions,mission_critical,N/A,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,wave2a-continued,general_llm,unknown,medium,department,bespoke_application,,,,,0,,1,,,,,,'Automatically create descriptions (metadata) for its digital archives' — generative metadata.,,,,mission_critical
NARA,,,,,None of the above.,,,Planned,,,,,,,,,retired_2024,,This AI use case will output an AI model that is specifically trained on NARA's data and designed to meet NARA's unique needs.,,,,,bureau,,,,,,,,,,,,,,,,,,,"NARA plans to build a custom AI model trained on its own data, which will improve the performance of its AI applications. This will lead to more accurate and relevant results, a better user experience, and new possibilities for using AI in managing and accessing records.",,,,,,,35562,Develop a Custom AI Model to Power Generative AI- Capabilities,,,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,custom_trained,medium,department,custom_system,,,,,0,,1,,,,,,'Build a custom AI model trained on its own data' — custom GenAI training.,,,,mission_critical
NARA,Generative AI,general_llm,unknown,,None of the above.,enterprise_wide,,Planned,bespoke_application,NARA plans to use AI to automatically create descriptions for its digital objects. This will free up archivists' time and make it easier for people to find and understand the digital materials in NARA's system.,0,0,1,1,0,0,continued,Topic Summarizer and Entity Extraction using AI,This AI use case will output enriched metadata making NARA's digital assets more accessible and easier to manage.,"The AI is intended to solve the problem of unsearchable digital collections caused by massive descriptive backlogs, automating the creation of metadata for billions of digital objects to ensure they are immediately discoverable and understandable for the public without years of manual archival processing.",,,,,,,,,,,,,,,,,,,,,,,NARA plans to use AI to automatically create descriptions for its digital objects. This will free up archivists' time and make it easier for people to find and understand the digital materials in NARA's system.,N/A,This AI use case will output enriched metadata making NARA's digital assets more accessible and easier to manage.,,,35564,134267,35564,Topic Summarizer and Entity Extraction using AI,mission_critical,N/A,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,wave2a-continued,general_llm,unknown,medium,department,bespoke_application,,,,,0,,1,,,,,,'Topic Summarizer and Entity Extraction using AI' for digital objects.,,,,mission_critical
NARA,Generative AI,general_llm,unknown,,None of the above.,enterprise_wide,,Planned,bespoke_application,"NARA plans to test how well AI can automatically organize and categorize its data. This pilot project will help NARA understand its data better, find information faster, improve efficiency, and manage risks more effectively.",0,0,1,1,0,0,continued,Automated Data Discovery and Classification Pilot,"This AI pilot will categorize data, improve search, and potentially train AI to identify new document types.","The AI is intended to solve the problem of inefficient manual data governance and risk assessment by testing automated data classification techniques to organize unstructured datasets, accelerate information discovery, and more accurately identify potential security or privacy vulnerabilities.",,,,,,,,,,,,,,,,,,,,,,,"NARA plans to test how well AI can automatically organize and categorize its data. This pilot project will help NARA understand its data better, find information faster, improve efficiency, and manage risks more effectively.",N/A,"This AI pilot will categorize data, improve search, and potentially train AI to identify new document types.",,,35565,134273,35565,Automated Data Discovery and Classification Pilot,cybersecurity,N/A,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm,wave2a-continued,nlp_specific,unknown,medium,department,bespoke_application,,,,,0,,0,,,,,,'Automatically organize and categorize its data' — data discovery/classification pilot.,,,,mission_critical
NTSB,Natural Language Processing (NLP),nlp_specific,unknown,NTSB,None of the above.,enterprise_wide,,Initiated,bespoke_application,"Improved timeliness of screening recorders, directing resources to potentially relevant information for further investigation",0,0,1,0,0,0,continued,Voice to text transcription,Draft transcription,Speed and efficiency of screening vehicle voice recorders,,,,,,,,,,,,,,,,,,,,,,,"Create draft voice to text transcription of investigation recordings, improving speed and efficiency of initial processing for audio recordings prior to manual transcription",N/A,Draft speech to text transcription,,,35566,134733,35566,Voice to text transcription,administrative,Air Force Research Lab,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,wave2a-continued,general_llm,inference_only,medium,enterprise_wide,bespoke_application,,,,,1,,1,,,,,,'Draft voice to text transcription of investigation recordings' — generative transcription pilot.,,,,mission_critical
SEC,,classical_ml,unknown,Office of Information Technology (OIT),Summarizing the key points of a lengthy report using AI.,bureau,Developed with both contracting and in-house resources.,Implementation and Assessment,custom_system,,0,0,0,0,0,0,continued,Comment Letter Review and Analysis,Comment letter summaries.,,,,,,,,,,,,,,,,,,,,,,,,Enhances the review of public comment letters.,,,,,35576,134775,35576,Comment Letter Review and Analysis,administrative,,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,wave2a-continued,general_llm,unknown,medium,office,bespoke_application,,,,,0,,1,,,,,,'Enhances the review of public comment letters' producing summaries — generative summarization application.,OIT,,,mission_critical
SEC,Natural Language Processing (NLP),nlp_specific,unknown,Office of Human Resources (OHR),Transcribing and summarizing a recorded meeting or interview using AI.,bureau,Developed with contracting resources.,Implementation and Assessment,product_deployment,Improves communication and collaboration skills of the SEC workforce,0,1,0,0,0,0,continued,Training Conversation Tool,Feedback on collaboration and communication.,Strictly a training tool for practicing conversations on a variety of topic areas.,,,,,,,,,,,,,,,,,,,,,,,Improves communication and collaboration skills of the SEC workforce,,Feedback on collaboration and communication.,,,35581,134779,35581,Training Conversation Tool,administrative,SkillSoft,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,wave2a-continued,general_llm,inference_only,low,office,product_deployment,,,,1,0,,1,,,,,,'Improves communication and collaboration skills' via training transcription tool — likely COTS GenAI feedback.,OHR,,,administrative
