agency_abbreviation,ai_classification_2025,ai_sophistication_2025,architecture_type_2025,bureau,commercial_ai,deployment_scope_2025,dev_method,dev_stage,entry_type_2025,expected_benefits_2025,is_coding_tool_2025,is_cots_commercial_2025,is_enterprise_wide_2025,is_general_llm_access_2025,is_generative_ai_2025,is_microsoft_copilot_2025,lineage_status,name_2025,outputs,problem_statement_2025,proposed_ai_sophistication,proposed_architecture_type,proposed_confidence,proposed_deployment_scope,proposed_entry_type,proposed_is_anthropic,proposed_is_aws_ai,proposed_is_coding_tool,proposed_is_cots_commercial,proposed_is_enterprise_wide,proposed_is_general_llm_access,proposed_is_generative_ai,proposed_is_github_copilot,proposed_is_google,proposed_is_microsoft_copilot,proposed_is_openai,proposed_is_public_facing,proposed_reasoning,proposed_scope_detail,proposed_tool_product_name,proposed_tool_vendor,proposed_use_type,purpose_benefits,system_name_2025,system_outputs_2025,tool_product_name_2025,tool_vendor_2025,uc_2024_id,uc_2025_id,use_case_id_2024,use_case_name,use_type_2025,vendor_name_2025,w2_flags_json,w2_reasoning,w2_tagged_by,wave1_ai_sophistication,wave1_architecture_type,wave1_confidence,wave1_deployment_scope,wave1_entry_type,wave1_is_anthropic,wave1_is_aws_ai,wave1_is_coding_tool,wave1_is_cots_commercial,wave1_is_enterprise_wide,wave1_is_general_llm_access,wave1_is_generative_ai,wave1_is_github_copilot,wave1_is_google,wave1_is_microsoft_copilot,wave1_is_openai,wave1_is_public_facing,wave1_reasoning,wave1_scope_detail,wave1_tool_product_name,wave1_tool_vendor,wave1_use_type
DHS,Computer Vision,agentic,unknown,CBP,None of the above.,bureau,,Initiated,custom_system,"Customs and Border Protection (CBP) intends to identify potential for Items of Interest (IoI) on vessels through the use of autonomous systems, which will allow CBP to more efficiently and safely increase shared situational awareness, improve mission planning and agent/officer safety, and reduce reactionary gaps.",0,0,0,0,1,0,continued,AI Enabled Autonomous Underwater Vehicle,"This AI helps a small submarine drone detect possible contraband or safety risks to prioritize additional checks by human divers.


The technology allows for increased shared situational awareness in real time for OFO and strategic partners and improves mission planning and agent and officer safety, while reducing reactionary gaps. 
[this needs to be more clear about the ai system outputs - is the ai outputting suspected loads indicators? imagery? the closed loop fully autonomous navigation implies other self-looping outputs for navigation on obstacles and currents, are there any others?]","Customs and Border Protection (CBP) desires to identify potential Items of Interest (IoI) on vessels more quickly, efficiently, and safely.  Provides increased shared situational awareness in real time for CBP and strategic partners, and improves mission planning and agent and officer safety while reducing reactionary gaps.",,,,,,,,,,,,,,,,,,,,,,,"Customs and Border Patrol (CBP) Office of Field Operations (OFO) has identified significant potential for parasitic loads on vessels entering and exiting ports of entry. The current identification method is using dive teams or borrowing larger ROV units from Local, State, or Federal partners. Through autonomous systems, OFO can more efficiently and safely identify anomalies/items of interest.",,"AI output will include object avoidance, automated mission execution, and may include imagery of potential Items of Interest (IoI).",,,34136,132107,34136,AI Enabled Autonomous Underwater Vehicle,mission_critical,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,classical_ml,inference_only,high,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""Customs and Border Patrol (CBP) Office"" — classical ML, bureau (CBP).",CBP,,,mission_critical
DHS,Generative AI,general_llm,unknown,CBP,None of the above.,bureau,,Initiated,custom_system,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,0,0,0,1,0,0,renamed,AI to generate testable synthetic data,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.,Improve integration with trade partners and reduce implementation time of new capabilties.,,,,,,,,,,,,,,,,,,,,,,,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.,,,34138,132121,34138,AI/LLM to generate testable synthetic data,administrative,,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,wave2a-renamed-split,general_llm,inference_only,medium,bureau,custom_system,0,0,0,,0,0,1,0,0,0,0,0,"""purpose of using AI to generate"" — LLM use, bureau (CBP).",CBP,,,mission_critical
DHS,Natural Language Processing (NLP),general_llm,custom_trained,CBP,None of the above.,bureau,,Initiated,bespoke_application,"Visitors to the U.S. Customs and Border Protection (CBP) careers website can engage with a Natural Language Processing (NLP) based chat bot to help access CBP career related information and drive users to take the next action such as contacting a recruiter, attending a career event, or applying for a CBP career to help access CBP career related information and drive users to take the next action. These data-driven responses will allow for more natural, conversational interactions to increase usability and accuracy in provided information.",0,0,0,1,1,0,continued,CBP Careers Bot - Leo,The AI-chatbot will provide natural language responses to user queries.,"The Natural Language Processing (NLP) chatbot is intended to help visitors to the CBP careers site navigate complex and extensive career resources quickly and easily. By providing a guided, interactive experience, the chatbot simplifies access to the most relevant career information, on a user-by-user basis. Additionally, the chatbot can direct users to CBP recruiters and recruitment events, strengthening the agency's recruitment network and fostering more direct engagement with prospective candidates.",,,,,,,,,,,,,,,,,,,,,,,"Visitors to the U.S. Customs and Border Protection (CBP) careers website can engage with a decision-tree based chat bot to help access CBP career related information and drive users to take the next action such as contacting a recruiter, attending a career event, or applying for a CBP career to help access CBP career related information and drive users to take the next action. The addition of Natural Language Processing (NLP)-driven responses will allow for more natural, conversational interactions to increase usability and accuracy in provided information.",C2RMT,The NLP-chatbot will provide natural language responses to user queries.,,,34142,132257,34142,CBP Careers Bot - Leo,mission_critical,Salesforce Einstein,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,nlp_specific,inference_only,medium,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""Visitors to the U"" — specialized NLP, bureau (CBP).",CBP,,,mission_critical
DHS,Classical/Predictive Machine Learning,agentic,unknown,CBP,None of the above.,bureau,,Initiated,custom_system,Utilize seismic sensor data to determine Item of Interest in deployed locations. Increases situational awareness in austere environments and reduces need for battery replacement due to self-charging.,0,0,0,0,1,0,continued,Thermal Power Generation with Geoseismic IoI Detection and Classification,Alert that an Item of Interest (IOI) is present and the confidence interval that the detected seismic activity is correctly classified.,"Overcomes the following problems: 1) the cost of replacement batteries, 2) the time it takes agents to constantly replace batteries, and 3) the problem of revealing the UGS location when replacing the batteries.",,,,,,,,,,,,,,,,,,,,,,,Utilize seismic sensor data to determine Item of Interest traffic in deployed locations. Increases situational awareness in austere environments and reduces need for battery replacement since the devices are self-charging.,,Alert with the classification and confidence interval for the Item of Interest (IoI).,,,34146,132122,34146,Thermal Power Generation with Geoseismic IoI Detection and Classification,administrative,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,classical_ml,inference_only,high,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""Utilize seismic sensor data to determine"" — classical ML, bureau (CBP).",CBP,,,mission_critical
DHS,Classical/Predictive Machine Learning,classical_ml,inference_only,CBP,None of the above.,bureau,,Initiated,product_deployment,"With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run thousands of custom attack scenarios against APIs on a continuous basis. This will help to identify potential security vulnerabilities prior to production level deployments, and enable the enterprise to develop essential remediations, if required.  Additionally, the techonlogy is intended to provide continuous monitoring on APIs to provide real-time alerts on new potential vulnerabilities.",0,1,0,0,1,0,continued,API Security Vulnerability Technology,"The AI system is intended to output custom reports on identified vulnerabilities within application programing interfaces (APIs). These reports will include the identified risk and a summary of the risk, as well as tailored remediation guidance based on the applications, environment, data, and tests conducted for end-users.","Discover, ingest, and analyze APIs to create and run thousands of custom attack scenarios against every build prior to production. Catch security vulnerabilities as early in the software development life cycle (SDLC) as possible. Educate and empower security and dev teams on sound API security strategies.",,,,,,,,,,,,,,,,,,,,,,,"With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run thousands of custom attack scenarios against APIs on a continuous basis. This will help to identify potential security vulnerabilities prior to production level deployments, and enable the enterprise to develop essential remediations, if required.  Additionally, the techonlogy is intended to provide continuous monitoring on APIs to provide real-time alerts on new potential vulnerabilities.",,"The AI system is intended to output custom reports on identified vulnerabilities within application programing interfaces (APIs). These reports will Include the identified risk and a summary of the risk, as well as tailored remediation guidance based on the applications, environment, data, and tests conducted for end-users.",Custom In-House AI,In-House,34149,132123,34149,API Security Vulnerability Technology,cybersecurity,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,wave2a-continued,classical_ml,rag_pipeline,medium,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""With the necessity of leveraging application"" — classical ML, bureau (CBP).",CBP,,,mission_critical
DHS,Generative AI,general_llm,custom_trained,CBP,None of the above.,bureau,,Initiated,bespoke_application,"ClassifAI is designed to streamline and enhance the position description (PD) creation and classification process by leveraging generative AI to produce drafts of accurate, consistent, and standards-compliant PDs. By reducing administrative burdens, improving PD quality, and minimizing classification risks, ClassifAI enables agencies to optimize workforce management, attract top talent, and achieve greater operational efficiency with fewer resources.",0,0,0,1,1,0,continued,Position Description Generation and Evaluation,"Creation of accurate position descriptions, verified by Human Resources Specialists","Federal agencies often face challenges in creating accurate, consistent, and well-structured position descriptions (PDs) due to limited resources, the time-intensive nature of the classification process, and varying levels of expertise among HR staff and Hiring Managers. Inaccurate or poorly written PDs can lead to misclassification, legal disputes, grievances, and difficulties attracting qualified candidates, ultimately impacting workforce quality and agency performance.",,,,,,,,,,,,,,,,,,,,,,,"Faster and more accurate creation of PDs, reducing admin burden on field and HQs as well as HR specialists, allowing agency to get more done with less staff.",,"ClassifAI generates accurate, standards-compliant drafts of position descriptions (PDs) with tailored classification recommendations, robust and customizable language, and supporting documentation.",,,34152,132259,34152,Position Description Generation and Evaluation,administrative,Starlo and Deloitte,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,classical_ml,inference_only,medium,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""Faster and more accurate creation of"" — classical ML, bureau (CBP).",CBP,,,administrative
DHS,Computer Vision,agentic,unknown,CBP,None of the above.,bureau,,Initiated,custom_system,"RAPTOR will significantly increase domain awareness and the agency’s ability to engage in intelligence-driven operations.  The AI capability acts as a force multiplier and saves personnel from analyzing video feed from a stationary camera and manually noting all boat identifiers, improving their ability to respond quickly to potential threats and gather critical intelligence for law enforcement and border control operations.",0,0,0,0,1,0,continued,RAPTOR (Rapid Tactical Operations Reconnaissance),Text transcription of vessel registration/documentation data and photographs of the vessel.,"Provide Tactical Domain Awareness for CBP Agents, making law enforcement efforts more efficient.",,,,,,,,,,,,,,,,,,,,,,,"RAPTOR will significantly increase domain awareness and the agency’s ability to engage in intelligence-driven operations.  The AI capability acts as a force multiplier and saves personnel from analyzing video feed from a stationary camera and manually noting all boat identifiers, improving their ability to respond quickly to potential threats and gather critical intelligence for law enforcement and border control operations.",,Text transcription of vessel registration/documentation data and photographs of the vessel.,,,34157,132113,34157,RAPTOR (Rapid Tactical Operations Reconnaissance),mission_critical,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,nlp_specific,inference_only,medium,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""RAPTOR will significantly increase domain awareness"" — specialized NLP, bureau (CBP).",CBP,,,mission_critical
DHS,Computer Vision,agentic,inference_only,CBP,None of the above.,bureau,,Initiated,bespoke_application,"Current surveillance technology does not have machine assisted classification of targets on screen, making it harder for human operators to decipher legitimate from illegitimate traffic in times of high volumes of legitimate traffic.  Project intends to support human operator identification and classification of potential illicit vessels.  Benefits would be more efficient detection and resolution of IOIs, especially during times of high-volume traffic.",0,1,0,0,1,0,continued,Vessel Detection,Alerts and tracks of detected Items of Interest (IOI)s to human operator workstations.,"The system uses AI-enhanced technologies and analytics to improve maritime detection and tracking in areas with significant trade and recreational water vessel activity. The system increases situational awareness and responsiveness to potential threats, assisting human operators in identifying and classifying vessels of interest. Agents can define a search area with specific criteria, which is transmitted to sensors. Detected images are analyzed by AI algorithms that filter, detect, and categorize objects into Items of Interest (IoI) or other objects. IoIs are shared across detection systems and tracked seamlessly across multiple sensors, while non-relevant objects are excluded. This approach enhances efficiency in detecting and addressing IoIs, particularly during high-traffic periods, by providing alerts and tracking information to human operators.",,,,,,,,,,,,,,,,,,,,,,,"Current surveillance technology does not have machine assisted classification of targets on screen, making it harder for human operators to decipher legitimate from illegitimate traffic in times of high volumes of legitimate traffic.  Project intends to support human operator identification and classification of potential illicit vessels.  Benefits would be more efficient detection and resolution of IOIs, especially during times of high-volume traffic.",,Alerts and tracks of detected Items of Interest (IOI)s to human operator workstations.,Aretec SEARCH,Aretec,34158,132236,34158,Vessel Detection,cybersecurity,JHU APL,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,classical_ml,inference_only,high,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""Current surveillance technology does not have"" — classical ML, bureau (CBP).",CBP,,,mission_critical
DHS,,agentic,unknown,CBP,None of the above.,bureau,,Initiated,custom_system,,0,0,0,0,1,0,continued,AI for Autonomous Situational Awareness,"Detections of items of interest being displayed with bounding boxes around the IOI in the image frame and an initial determination of ""human, animal, vehicle""""",,,,,,,,,,,,,,,,,,,,,,,,"The AI for autonomous situational awareness system is intended to use IoT sensor kits to covertly detect and track illicit cross-border traffic in remote locations. The system will leverage a motion image/video system enhanced with Artificial Intelligence that is capable of vehicle detection and direction determination, to allow for more active monitoring of remote camera feeds that prompt operators to review the items of interest once detected.  This will reduce the overall operator burden of camera monitoring and allow users to accomplish other tasks or system management.",,,,,34159,132313,34159,AI for Autonomous Situational Awareness,administrative,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,classical_ml,rag_pipeline,high,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""AI for autonomous situational awareness system"" — classical ML, bureau (CBP).",CBP,,,mission_critical
DHS,Generative AI,general_llm,fine_tuned,CBP,None of the above.,bureau,,Retired,product_deployment,"These AI tools significantly reduce the time and effort required to sift through large datasets, improve the ability to uncover relevant information, and enhance the overall efficiency and effectiveness of HSI’s investigative operations.",0,1,0,1,0,0,renamed,Open-Source Intelligence for Investigations,"This use case is inactive. Please see the ""intended purpose and expected benefits"" for a full description of this use case.","The AI is intended to solve the problem of analysts having to manually search and make sense of vast amounts of multilingual, multimodal publicly available online data, which makes it difficult to efficiently identify relevant identifiers, high‑risk content, and patterns needed to support Homeland Security Investigations (HSI) investigations.",general_llm,,,bureau,product_deployment,,,0,,,1,0,,,,,,,,Aretec SEARCH,Aretec,,"The platform enables users to make better decisions faster by identifying and forecasting emerging events on a global scale to mitigate risk, recognize threats, greatly enhance indications and warnings, and provide predictive intelligence capabilities. The AI/ML models enable rapid access to automated intelligence assessments by fusing, processing, exploiting and analyzing open sources of data (including news, social media, economic indicators, governance indicators, travel warnings, weather and other sources). This system is an immediate and substantial force multiplier that shifts the traditional approach of monitoring and assessing the operational environment to focus on the forecast of the future geopolitical, socio, and economic environment.",,"The outputs of these platforms include flagged risk alerts, extracted identifiers, image and sentiment classification, and suggested investigative leads. These platforms do not perform biometric identification, facial recognition for identity verification, autonomous targeting, or automated enforcement actions. All AI-enabled outputs are subject to mandatory human-in-the-loop review prior to any investigative, operational, or enforcement action.",Aretec SEARCH,Aretec,34162,132281,34162,Open-Source News Aggregation,cybersecurity,"Penlink, Fivecast","[""material_divergence"", ""tagging_error_2024"", ""tagging_error_2025""]",ai_sophistication LLM-class shift predictive_analytics→general_llm; 2024 tagged predictive_analytics; narrative + 2025 indicate LLM-class; 2025 marks general_llm but narrative is computer-vision,wave2a-renamed-split,predictive_analytics,inference_only,high,bureau,custom_system,0,0,0,,0,0,0,0,0,0,0,0,"""platform enables users to make better"" — predictive analytics, bureau (CBP).",CBP,,,mission_critical
